,Course Code,Course,EOS_2016
0,AL801,Software Design (Game Development or Cloud Computing),300
1,AL810,Quantity Surveying,315
2,AL820,Mechanical and Polymer Engineering,295
3,AL830,General Nursing,425
4,AL831,Mature Applicants General Nursing,181
5,AL832,Psychiatric Nursing,375
6,AL833,Mature Applicants Psychiatric Nursing,169
7,AL836,Health Science with Nutrition,350
8,AL837,Sports Science with Exercise Physiology,360
9,AL838,Biotechnology,270
10,AL840,Pharmaceutical Science,255
11,AL841,Athletic and Rehabilitation Therapy,410
12,AL842,Bioveterinary Science,325
13,AL843,Physical Activity and Health,345
14,AL850,Business,300
15,AL851,Business and Law,300
16,AL852,Accounting (with optional placement),290
17,AL854,Business Psychology,305
18,AL860,Social Care Practice,300
19,AL861,Animation and Illustration (Portfolio),565
20,PC405,Citizenship and Community Studies,225
21,PC410,Humanities,280
22,PC411,English and History,300
23,CW008,Applied Humanities (Wexford),
24,CW018,Business (Wexford),255
25,CW028,Early Childhood Education and Care (Wexford),265
26,CW038,Art (Wexford - Portfolio),700
27,CW068,Applied Social Studies (Professional Social Care - Wexford),270
28,CW078,Sustainable Farm Management and Agribusiness (Wexford),320
29,CW088,Visual Communications and Design (Wexford),265
30,CW098,Culture and Heritage Studies (Wexford),310
31,CW108,Biosciences with Bioforensics or Biopharmaceuticals,295
32,CW168,Environmental Science,290
33,CW178,Sport Science,410
34,CW188,Sports Rehabilitation and Athletic Therapy,445
35,CW198,Strength and Conditioning,400
36,CW208,Computer Games Development,290
37,CW238,Software Development,290
38,CW248,Computer Systems Management,300
39,CW258,Cybercrime and IT Security,315
40,CW438,Construction,260
41,CW468,Architectural Technology,270
42,CW478,Civil Engineering,395
43,CW548,Mechanical Engineering,335
44,CW558,Electronic Systems,290
45,CW568,Aero Engineering,395
46,CW578,TV and Media Production,365
47,CW708,Law - LLB,300
48,CW728,Product Design Innovation,300
49,CW748,Early Childhood Education and Care,270
50,CW758,Applied Social Studies (Professional Social Care),295
51,CW788,Youth and Community Work (Interview),700
52,CW808,Media and Public Relations,270
53,CW858,Sport Management and Coaching (Options: GAA Rugby Soccer - Portfolio),700
54,CW908,Business,270
55,CW938,Business with Law,290
56,CW948,Accounting,317
57,CR105,Chemical and Biopharmaceutical Engineering,430
58,CR106,Software Development,380
59,CR108,Mechanical Engineering,415
60,CR109,Structural Engineering,375
61,CR112,Multimedia,365
62,CR116,Software Development and Computer Networking,330
63,CR121,Music at CIT Cork School of Music,620
64,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,675
65,CR126,Popular Music: Drums at CIT Cork School of Music,770
66,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,680
67,CR128,Popular Music: Keyboards at CIT Cork School of Music,795
68,CR129,Popular Music: Voice at CIT Cork School of Music,890
69,CR150,Business Information Systems,385
70,CR210,Contemporary Applied Art (Ceramics Glass Textiles) at Crawford College,1000
71,CR220,Fine Art at CIT Crawford College of Art and Design,710
72,CR305,Physical Sciences (Common Entry),305
73,CR310,IT Management,320
74,CR312,Web Development,320
75,CR320,Biomedical Science - Offered jointly by CIT and UCC,545
76,CR325,Pharmaceutical Biotechnology,360
77,CR330,Herbal Science,340
78,CR333,Nutrition and Health Science,380
79,CR335,Biological Sciences (Common Entry),400
80,CR340,Analytical Chemistry with Quality Assurance,305
81,CR360,Instrument Engineering,300
82,CR365,Environmental Science and Sustainable Technology,310
