,Course Code,Course,EOS_2017
0,AL801,Software Design (Game Development or Cloud Computing),290
1,AL810,Quantity Surveying,311
2,AL820,Mechanical and Polymer Engineering,300
3,AL830,General Nursing,398
4,AL832,Psychiatric Nursing,378
5,AL836,Health Science with Nutrition,346
6,AL837,Sports Science with Exercise Physiology,354
7,AL838,Biotechnology,270
8,AL839,Microbiology,318
9,AL840,Pharmaceutical Science,257
10,AL841,Athletic and Rehabilitation Therapy,405
11,AL842,Bioveterinary Science,301
12,AL843,Physical Activity and Health,306
13,AL850,Business,296
14,AL851,Business and Law,300
15,AL852,Accounting (with optional placement),293
16,AL853,Accounting and Law,308
17,AL854,Business Psychology,291
18,AL860,Social Care Practice,300
19,AL861,Animation and Illustration (Portfolio and Interview Required),605
20,CW018,Business (Wexford),255
21,CW028,Early Childhood Education and Care (Wexford),260
22,CW038,Art (Wexford - Portfolio),700
23,CW068,Applied Social Studies - Professional Social Care (Wexford),270
24,CW078,Sustainable Farm Management and Agribusiness (Wexford),307
25,CW088,Visual Communications and Design (Wexford),264
26,CW108,Science,295
27,CW178,Sport Science,400
28,CW188,Sport Rehabilitation and Athletic Therapy,441
29,CW198,Strength and Conditioning,367
30,CW208,Computer Games Development,290
31,CW238,Software Development,290
32,CW248,Information Technology Management,301
33,CW258,Cybercrime and IT Security,309
34,CW438,Construction,261
35,CW468,Architectural Technology,261
36,CW478,Civil Engineering,360
37,CW548,Mechanical Engineering,301
38,CW558,Electronic Systems,302
39,CW568,Aerospace Engineering,365
40,CW578,TV and Media Production,374
41,CW708,Law - LLB,295
42,CW728,Product Design Innovation,309
43,CW748,Early Childhood Education and Care,280
44,CW758,Applied Social Studies - Professional Social Care,290
45,CW788,Youth and Community Work (Interview),700
46,CW808,Media and Public Relations,271
47,CW858,Sport Management and Coaching (GAA/Rugby/Soccer - Portfolio),700
48,CW908,Business,270
49,CW938,Business with Law,293
50,CW948,Accounting,306
51,PC405,Citizenship and Community Studies,211
52,PC410,Humanities,179
53,PC411,English and History,211
54,CR105,Chemical and Biopharmaceutical Engineering,443
55,CR106,Software Development,357
56,CR108,Mechanical Engineering,422
57,CR109,Structural Engineering,326
58,CR112,Creative Digital Media,318
59,CR116,Computer Systems,351
60,CR121,Music at CIT Cork School of Music,583
61,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,836
62,CR126,Popular Music: Drums at CIT Cork School of Music,836
63,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,606
64,CR128,Popular Music: Keyboards at CIT Cork School of Music,941
65,CR129,Popular Music: Voice at CIT Cork School of Music,564
66,CR150,Business Information Systems,356
67,CR210,Contemporary Applied Art (Ceramics Glass Textiles) at CIT Crawford,711
68,CR220,Fine Art at CIT Crawford College of Art and Design,629
69,CR305,Physical Sciences (Common Entry),319
70,CR310,IT Management,291
71,CR312,Web Development,300
72,CR320,Biomedical Science - Offered jointly by CIT and UCC,520
73,CR325,Pharmaceutical Biotechnology,383
74,CR330,Herbal Science,320
75,CR333,Nutrition and Health Science,349
76,CR335,Biological Sciences (Common Entry),390
77,CR340,Analytical Chemistry with Quality Assurance,321
78,CR360,Instrument Engineering,301
79,CR365,Environmental Science and Sustainable Technology,323
80,CR400,Accounting,318
81,CR420,Marketing,306
82,CR425,International Business with Language,298
83,CR500,Engineering (Common Entry),392
84,CR510,Sustainable Energy Engineering,317
85,CR520,Biomedical Engineering,444
86,CR560,Architectural Technology,276
87,CR565,Interior Architecture,306
88,CR570,Quantity Surveying,291
89,CR572,Construction Management,251
90,CR580,Electrical Engineering,330
91,CR590,Electronic Engineering,330
92,CR600,Visual Communications,490
93,CR660,Tourism Management,254
94,CR700,Theatre and Drama Studies at CIT Cork School of Music,879
95,CK101,Arts,330
96,CK102,Social Science,378
97,CK104,Arts with Music,367
98,CK105,Film and Screen Media,422
99,CK106,Applied Psychology,499
100,CK107,Geographical and Archaeological Sciences,337
101,CK108,Arts International,466
102,CK109,English,420
103,CK110,World Languages,476
104,CK111,Early Years and Childhood Studies,377
105,CK112,Drama and Theatre Studies,408
106,CK113,Criminology,412
107,CK114,Social Science (Youth and Community Work),777
108,CK115,Social Work - Mature Applicants only,999
109,CK116,Sports Studies and Physical Education,477
110,CK117,Economics (through Transformational Learning),419
111,CK118,Digital Humanities and Information Technology,379
112,CK201,Commerce,455
113,CK202,Accounting,434
114,CK203,Business Information Systems,445
115,CK204,Finance,532
116,CK205,Commerce (International) with French,465
117,CK206,Commerce (International) with German,465
118,CK207,Commerce (International) with Italian,430
119,CK208,Commerce (International) with Hispanic Studies,451
120,CK209,Commerce (International) with Irish,478
121,CK210,Government,360
122,CK211,Commerce (International) with Chinese Studies,424
