,Course Code,Course,EOS_2017
123,CK301,Law (Pathways),475
124,CK302,Law and French,510
125,CK304,Law and Irish,496
126,CK307,Law and Business,543
127,CK401,Computer Science,419
128,CK402,Biological and Chemical Sciences,488
129,CK404,Biological Earth and Environmental Sciences,435
130,CK405,Genetics,473
131,CK406,Chemical Sciences,477
132,CK407,Mathematical Sciences,554
133,CK408,Physics and Astrophysics,531
134,CK409,Industrial Physics - Offered jointly by UCC and CIT,445
135,CK502,Food Marketing and Entrepreneurship,440
136,CK504,Nutritional Sciences,484
137,CK505,Food Science,453
138,CK506,International Development and Food Policy,378
139,CK600,Engineering,443
140,CK606,Architecture - Offered jointly by UCC and CIT,435
141,CK701,Medicine (Undergraduate Entry),729
142,CK702,Dentistry,578
143,CK703,Pharmacy,565
144,CK704,Occupational Therapy,518
145,CK705,Speech and Language Therapy,522
146,CK706,Public Health Sciences,429
147,CK710,General Nursing,433
148,CK712,Children’s and General Nursing (Integrated),498
149,CK720,Mental Health Nursing,408
150,CK730,Intellectual Disability Nursing,378
151,CK740,Midwifery,434
152,CK791,Medicine (Graduate Entry),58
153,AC120,International Business,281
154,AC137,Liberal Arts,219
155,CT125,Information Technology,263
156,CM001,Education - Primary Teaching,451
157,CM002,Education - Primary Teaching - Gaeltacht Applicants,411
158,CM010,Education Studies,315
159,CM020,Early Childhood Education,330
160,DB500,Computing,228
161,DB501,Computing (Cloud Computing),374
162,DB502,Computing (Data Analytics and Big Data),
163,DB503,Computing (Software Development),202
164,DB504,Computing (Web and Mobile Computing),
165,DB512,Business Studies,130
166,DB514,Business Studies (Law),228
167,DB515,Business Studies (Human Resource Management),228
168,DB516,Financial Services,279
169,DB517,Marketing (Event Management),200
170,DB518,Marketing (Digital Media),200
171,DB520,Business Studies (with work placement),219
172,DB521,Accounting and Finance,244
173,DB524,Business Information Systems,299
174,DB525,Marketing (Digital Media and Cloud Computing),320
175,DB526,Business Information Systems (Cloud Computing),292
176,DB531,Marketing,252
177,DB562,Psychology,208
178,DB565,Journalism,215
179,DB566,Social Science,202
180,DB567,Film,184
181,DB568,Law,163
182,DB569,Business (Psychology),289
183,DC001,Education - Early Childhood Education,378
184,DC002,Education - Primary Teaching,462
185,DC003,Education - Primary Teaching - Gaeltacht Applicants,430
186,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),420
187,DC009,Arts (Joint Honours) - Humanities,358
188,DC010,Post Primary Teacher Education - Religious Education and English,377
189,DC011,Post Primary Teacher Education - Religious Education and History,350
190,DC012,Post Primary Teacher Education - Religious Education and Music,357
191,DC014,Jazz and Contemporary Music Performance (Audition),271
192,DC110,Business Studies International,457
193,DC111,Business Studies,466
194,DC112,Global Business (France),487
195,DC113,Global Business (Germany),466
196,DC114,Global Business (Spain),520
197,DC115,Accounting and Finance,477
198,DC116,Global Business (USA),576
199,DC117,Aviation Management / Aviation Management with Pilot Studies,451
200,DC118,Gnó agus Gaeilge / Business and Irish,378
201,DC119,Global Business (Canada),565
202,DC120,Enterprise Computing,366
203,DC121,Computer Applications,390
204,DC123,Data Science,454
205,DC126,Actuarial Mathematics,554
206,DC127,Common Entry into Actuarial and Financial Mathematics,520
207,DC131,Communication Studies,420
208,DC132,Journalism,410
209,DC133,Multimedia,431
210,DC155,Applied Language and Translation Studies,380
211,DC161,Analytical Science,456
212,DC162,Chemical and Pharmaceutical Sciences,487
213,DC166,Environmental Science and Technology,392
214,DC167,Physics with Astronomy,444
215,DC168,Genetics and Cell Biology,487
216,DC171,Applied Physics,423
217,DC173,Physics with Biomedical Sciences,465
218,DC181,Biotechnology,473
219,DC190,Electronic and Computer Engineering (with choice of four majors),393
220,DC193,Mechatronic Engineering,412
221,DC195,Mechanical and Manufacturing Engineering,402
222,DC197,Biomedical Engineering,412
223,DC200,Common Entry into Engineering (Undenominated Entry),381
224,DC201,Common Entry into Science (Undenominated Entry),478
225,DC202,Sport Science and Health,484
226,DC203,Science Education,444
227,DC204,Athletic Therapy and Training,499
228,DC205,Physical Education with Biology,487
229,DC206,Physical Education with Mathematics,476
230,DC208,Psychology,500
231,DC209,Health and Society,420
232,DC215,General Nursing,425
233,DC216,Mental Health Nursing,369
234,DC217,Intellectual Disability Nursing,376
235,DC218,Children’s and General Nursing (Integrated),473
236,DC230,Economics Politics and Law,420
237,DC231,International Relations,400
238,DC232,Law and Society (BCL),455
239,DC235,Education and Training - Daytime or Flexible Delivery Mode,306
240,DC238,Contemporary Culture and Society,356
241,DC239,Gaeilge agus Iriseoireacht/Irish and Journalism,
242,DC240,Marketing Innovation and Technology,462
243,DC291,Arts (Joint Honours) - Media Studies,359
244,DC292,Arts (Joint Honours) - Law,380
245,DC293,Arts (Joint Honours) - International Languages,377
246,DC295,Arts (Joint Honours) - Politics,360
247,DT001,Product Design,434
248,DT028,Transport Operations and Technology,261
249,DT035,Electrical Services and Energy Management,301
250,DT066,Engineering (General Entry),371
251,DT101,Architecture,630
252,DT106,Planning and Environmental Management,290
253,DT110,Property Economics (Valuation Surveying),377
254,DT111,Quantity Surveying and Construction Economics,370
255,DT112,Geographic Science,300
256,DT117,Construction Management,326
257,DT175,Architectural Technology,377
258,DT201,Science (General Entry),462
259,DT203,Forensic and Environmental Chemistry,317
260,DT204,Biomedical Science,497
261,DT205,Mathematical Sciences,298
262,DT206,Biomedical and Molecular Diagnostics,444
263,DT211,Computer Science (Infrastructure),371
264,DT220,Industrial Mathematics,247
265,DT221,Physics with Energy and Environment,330
266,DT222,Physics Technology,338
267,DT223,Human Nutrition and Dietetics,554
268,DT224,Optometry,477
269,DT225,Public Health Nutrition,403
270,DT227,Science with Nanotechnology,310
271,DT228,Computer Science,443
272,DT229,Clinical Measurement Science,466
273,DT235,Physics with Medical Physics and Bioengineering,368
274,DT255,Information Systems and Information Technology,308
275,DT282,Computer Science (International),360
276,DT299,Chemical Sciences with Medicinal Chemistry,423
277,DT302,Business Analytics,323
278,DT321,Business and Law,456
279,DT341,Marketing,414
280,DT343,Retail and Services Management,300
281,DT354,Business Computing,341
282,DT358,Logistics and Supply Chain Management,300
283,DT365,Business and Management,444
284,DT366,Accounting and Finance,444
285,DT398,Human Resource Management,387
286,DT399,Economics and Finance,450
287,DT401,International Hospitality Management,310
288,DT405,Culinary Science,340
289,DT407,Culinary Arts,300
290,DT412,Tourism Marketing,287
291,DT413,Event Management,370
292,DT416,Culinary Entrepreneurship,281
293,DT417,Bar and Beverage Management and Entrepreneurship,280
294,DT420,Nutraceuticals in Health and Nutrition,411
295,DT421,Food Innovation,354
296,DT422,Pharmaceutical Healthcare,384
297,DT491,Environmental Health,307
298,DT501,Music,449
299,DT504,Film and Broadcasting,437
300,DT506,Commercial Modern Music,660
301,DT508,Game Design,389
302,DT517,Languages and English Studies,317
303,DT518,Languages and Intl Tourism (Chinese/French/German/Irish/Italian/Spanish),290
304,DT529,Drama (Performance),353
305,DT532,Law (LLB),434
306,DT533,Contemporary Visual Culture,254
307,DT544,Interior Design,568
308,DT545,Design - Visual Communication,752
309,DT546,Fine Art,636
310,DT555,Intl Business & Languages (Chinese/French/German/Irish/Italian/Spanish),382
311,DT559,Photography,650
312,DT571,Social Care,388
313,DT572,Early Childhood Education,380
314,DT582,Journalism,367
315,DT596,Print and Digital Media Technology Management,253
316,DT597,Creative and Cultural Industries,290
317,DL821,English Media and Cultural Studies,300
318,DL822,Arts Management,211
319,DL823,Business Studies - Entrepreneurship and Management,202
320,DL825,Applied Psychology,372
321,DL826,Visual Communication Design,644
322,DL827,Art,518
323,DL828,3D Design Modelmaking and Digital Art,676
324,DL829,Design for Stage and Screen (Costume Design),690
325,DL830,Design for Stage and Screen (Makeup Design),890
326,DL831,Design for Stage and Screen (Production Design),630
327,DL832,Animation,1001
328,DL833,Photography,609
329,DL834,Film and Television Production,930
330,DL835,Creative Media Technologies,205
331,DL836,Creative Computing,270
332,DL837,New Media Studies,303
333,GC200,Business Studies (Cork),226
334,GC201,Accounting and Finance (Cork),244
335,GC230,Computing Science (Cork),226
336,GC300,Business Studies (Limerick),275
337,GC305,International Hospitality Management (Limerick),239
338,GC400,Business Studies (Dublin),242
339,GC401,Accounting and Finance (Dublin),216
340,GC402,Business Studies (HRM - Dublin),220
341,GC403,Law (Dublin),244
342,GC405,International Hospitality Management (Dublin),252
343,GC407,Business Studies (Marketing - Dublin),232
344,GC430,Computing Science (Dublin),236
345,GC431,Computing Science (Cloud Computing - Dublin),243
346,GC432,Computing Science (Software Development - Dublin),259
347,GC433,Computing Science (Network Management - Dublin),279
348,GC434,Computing Science (Games Development - Dublin),237
349,GC450,Journalism and Visual Media (Dublin),228
350,GC462,Design Communication (Dublin - Portfolio required),
351,GC489,Interior Architecture (Dublin),209
352,GC494,Fashion Design (Dublin - Portfolio required),290
353,ID001,Accounting and Finance,
354,ID002,Business Studies,308
355,ID003,Business Studies with Chinese,330
356,BN101,Business,253
357,BN103,Business and Information Technology,252
358,BN104,Computing (Information Technology),270
359,BN107,Applied Social Studies in Social Care,300
360,BN108,Engineering (Award options: Computer Engineering Mechatronics),291
361,BN109,Business (Common Entry-BusinessBus with ITIntl BusAcc & FinDig Mktg),261
362,BN110,International Business,255
363,BN111,Sports Management and Coaching,290
364,BN112,Creative Digital Media,290
365,BN113,Horticulture,233
366,BN114,Accounting and Finance,274
367,BN115,Community and Youth Development,251
368,BN117,Computer Engineering in Mobile Systems,293
369,BN118,Early Childhood Care and Education,290
370,BN119,Digital Marketing,270
371,BN120,Digital Forensics and Cyber Security,272
372,BN121,Mechatronic Engineering,291
373,TA021,European Studies,219
374,TA022,Creative Digital Media,211
375,TA023,Advertising and Marketing Communications,212
376,TA025,Social Care Practice,197
377,TA026,International Hospitality and Tourism Management,220
378,TA121,Accounting and Finance,210
379,TA122,Management,227
380,TA123,Marketing Management,216
381,TA125,International Business,244
382,TA221,Electronic Engineering,226
383,TA222,Mechanical Engineering,240
384,TA224,Biomedical Design,265
385,TA225,Automation Engineering,278
386,TA321,Pharmaceutical Science,275
387,TA322,Computing,251
388,TA326,DNA and Forensic Analysis,260
389,TA327,Sports Science and Health,351
390,TA328,Computing with Language (French/German/Spanish),263
391,TA329,Data Analytics,367
392,AD101,1st Year Art and Design (Common Entry - Matric + Portfolio),
393,AD202,Design or Fine Art and Education-Second Level Teaching (Matric+Portfolio),
394,AD212,Product Design (Matric + Portfolio),
395,AD215,Visual Culture,301
396,NC003,Computing,310
397,NC004,Business Information Systems,197
398,NC005,Human Resource Management,300
399,NC009,Business,300
400,NC010,Psychology,320
401,NC020,Marketing Practice,202
402,NC022,Accounting and Finance,336
403,NC023,Technology Management,201
404,RC001,Medicine - Undergraduate Entry,728
405,RC004,Physiotherapy,530
406,RC005,Pharmacy,540
407,RC101,Medicine - Graduate Entry,58
408,TR002,Music,399
409,TR003,History,487
410,TR004,Law,534
411,TR005,Philosophy,441
412,TR006,Psychology,554
413,TR007,Clinical Speech and Language Studies,511
414,TR008,World Religions and Theology,330
415,TR009,Music Education,429
416,TR012,History and Political Science,522
417,TR015,Philosophy Political Science Economics and Sociology,554
418,TR016,Deaf Studies,331
419,TR017,Law and Business,589
420,TR018,Law and French,567
421,TR019,Law and German,541
422,TR020,Law and Political Science,579
423,TR021,Classics,388
424,TR022,Early and Modern Irish,337
425,TR023,English Studies,473
426,TR024,European Studies,517
427,TR025,Drama and Theatre Studies,451
428,TR028,Ancient and Medieval History and Culture,450
429,TR029,Political Science and Geography,496
430,TR030,Catholic Theological Studies,360
431,TR031,Mathematics,566
432,TR032,Engineering,466
433,TR033,Computer Science,465
434,TR034,Management Science and Information Systems Studies,577
435,TR035,Theoretical Physics,566
436,TR038,Engineering with Management,499
437,TR039,Computer Science and Language,443
438,TR040,Middle Eastern and European Languages and Cultures,496
439,TR051,Medicine,731
440,TR052,Dental Science,589
441,TR053,Physiotherapy,543
442,TR054,Occupational Therapy,509
443,TR055,Radiation Therapy,488
444,TR056,Human Health and Disease,532
445,TR071,Science,498
446,TR072,Pharmacy,543
447,TR073,Human Genetics,543
448,TR074,Chemistry with Molecular Modelling,509
449,TR075,Medicinal Chemistry,509
450,TR076,Nanoscience Physics and Chemistry of Advanced Materials,542
451,TR077,Earth Sciences,473
452,TR080,Business Studies,544
453,TR081,Business Economic and Social Studies (BESS),520
454,TR082,Computer Science and Business,509
455,TR083,Sociology and Social Policy,487
456,TR084,Social Studies (Social Work),440
457,TR085,Business Studies and French,533
458,TR086,Business Studies and German,487
459,TR087,Business Studies and Russian,478
460,TR089,Business Studies and Polish,422
461,TR090,Business Studies and Spanish,529
462,TR091,General Nursing (Meath and St James’s),403
463,TR093,General Nursing (Adelaide School of Nursing),396
464,TR095,Mental Health Nursing,370
465,TR097,Intellectual Disability Nursing,378
466,TR911,Children’s and General Nursing (Integrated),463
467,TR913,Midwifery,431
468,DN100,Architecture,486
469,DN120,Landscape Architecture,348
470,DN150,Engineering,489
471,DN200,Science,505
472,DN201,Computer Science,466
473,DN230,Actuarial and Financial Studies,577
474,DN250,Agricultural Science,454
475,DN252,Dairy Business,401
476,DN253,Agri-Environmental Sciences,408
477,DN261,Food Science,462
478,DN262,Human Nutrition,498
479,DN271,Forestry,292
480,DN272,Horticulture Landscape and Sportsturf Management,228
481,DN300,Veterinary Medicine - Undergraduate Entry,555
482,DN301,Veterinary Medicine - Graduate Entry,
483,DN310,Veterinary Nursing,467
484,DN400,Medicine - Undergraduate Entry,734
485,DN401,Medicine - Graduate Entry,59
486,DN410,Radiography,498
487,DN420,Physiotherapy,552
488,DN425,Health and Performance Science,496
489,DN430,Sport and Exercise Management,432
490,DN440,Biomedical Health and Life Sciences,533
491,DN450,General Nursing,403
492,DN451,Children’s and General Nursing (Integrated),467
493,DN452,Midwifery,462
494,DN453,Mental Health Nursing,359
495,DN500,BA Degree - joint honours,321
496,DN510,Economics,487
497,DN511,English,402
498,DN513,English with Film,411
499,DN514,Planning Geography and Environment,355
500,DN515,History,388
501,DN519,Psychology,497
502,DN541,International Languages,450
503,DN550,Social Science,399
504,DN600,Law,521
505,DN610,Business and Law,521
506,DN650,Commerce,499
507,DN660,Commerce International,509
508,DN670,Quantitative Business - Economics and Finance,589
509,DK810,Accounting and Finance,300
510,DK816,Business Studies,306
511,DK817,Business Studies (Years 1 and 2 at Monaghan Institute),326
512,DK820,Computing in Games Development,310
513,DK821,Computing,300
514,DK830,Building Surveying,300
515,DK843,Engineering (Common entry),
516,DK860,Applied Music,
517,DK861,Digital Humanities,306
518,DK862,Social Care,307
519,DK863,Communications in Creative Media,306
520,DK864,Film and Television Production,300
521,DK865,Production of Music and Audio,300
522,DK870,General Nursing,388
523,DK872,Intellectual Disability Nursing,332
524,DK874,Psychiatric Nursing,356
525,DK876,Early Childhood Studies,307
526,DK877,Midwifery,419
527,DK880,Health and Physical Activity,307
528,DK881,Environmental Bioscience,300
529,DK882,Agriculture (2 award options: Agriculture or Agri-Food Production),319
530,GA181,Accounting,306
531,GA182,Business,290
532,GA183,Business Information Systems,300
533,GA184,Business in Marketing and Sales,300
534,GA185,Business in Finance and Economics,307
535,GA186,Business with Entrepreneurship,290
536,GA187,Business in Rural Enterprise and Agri-Business - Mountbellew Campus,281
537,GA281,Film and Documentary,320
538,GA282,Heritage Studies,235
539,GA283,Contemporary Art,253
540,GA284,Design,300
541,GA380,International Hotel Management,210
542,GA381,International Tourism Management,260
543,GA480,Construction Management,271
544,GA482,Quantity Surveying and Construction Economics,244
545,GA483,Architectural Technology,252
546,GA484,Civil Engineering,270
547,GA680,Mechanical Engineering,330
548,GA681,Energy Engineering,290
549,GA682,Biomedical Engineering,351
550,GA683,Agricultural Engineering,305
551,GA780,Applied Freshwater and Marine Biology,302
552,GA781,Applied Biology and Biopharmaceutical Science,315
553,GA782,Chemical and Pharmaceutical Science,307
554,GA783,Physics and Instrumentation,312
555,GA784,Science (Undenominated),325
556,GA785,Medical Science,435
557,GA786,Forensic Science and Analysis,311
558,GA787,Computing in Software Development,297
559,GA788,Computing and Digital Media,300
560,GA789,Agriculture and Environmental Management - Mountbellew Campus,302
561,GA790,Sport and Exercise Science,380
562,GA791,Public Health Nutrition,380
563,GA880,General Nursing - Mayo Campus,387
564,GA882,Psychiatric Nursing - Mayo Campus,353
565,GA885,Outdoor Education - Mayo Campus,235
566,GA886,Business - Mayo Campus (award option in Accounting),235
567,GA889,Applied Social Care - Mayo Campus,300
568,GA980,Education (Design Graphics and Construction) - Letterfrack Campus,370
569,GA981,Furniture Design and Manufacture - Letterfrack Campus,270
570,GA982,Furniture and Wood Technology - Letterfrack Campus,244
571,GY101,Arts Joint Honours Degree,300
572,GY103,Arts (Public and Social Policy),316
573,GY104,Arts (Psychology),509
574,GY105,Arts (History),311
575,GY107,Na Dána (Gaeilge agus Léann an Aistriúcháin),305
576,GY109,Arts (Mathematics and Education),403
577,GY110,Arts with Children’s Studies,389
578,GY111,Arts with Creative Writing,420
579,GY112,Arts with Film Studies,326
580,GY113,Arts with Human Rights,339
581,GY115,Arts with Performing Arts Studies,337
582,GY118,Arts (Drama Theatre and Performance Studies),400
583,GY119,Arts with Journalism,379
584,GY120,Arts (Child Youth and Family: Policy and Practice),306
585,GY121,Arts (Childrens Studies),348
586,GY122,Na Dána (Cumarsáid agus Gaeilge),340
587,GY123,BSc (Applied Social Sciences),359
588,GY201,Commerce,402
589,GY202,Commerce (International) with French,476
590,GY203,Commerce (International) with German,476
591,GY204,Commerce (International) with Spanish,473
592,GY206,Business Information Systems,430
593,GY207,Commerce (Accounting),444
594,GY208,Commerce (Gaeilge),430
595,GY209,Commerce (Global Experience),485
596,GY250,Corporate Law - Law subjects Commerce subjects optional language,392
597,GY251,Civil Law - Law subjects Commerce subjects optional language,430
598,GY261,Business Studies (Interview - International Hotel Management - Shannon),507
599,GY262,Commerce (Interview - International Hotel Management - Shannon),665
600,GY301,Science,400
601,GY303,Biomedical Science,521
602,GY304,Biotechnology,452
603,GY308,Environmental Science,400
604,GY309,Financial Mathematics and Economics,487
605,GY310,Marine Science,410
606,GY313,Environmental Health and Safety,311
607,GY314,Earth and Ocean Sciences,423
608,GY318,Biopharmaceutical Chemistry,487
609,GY319,Mathematical Science,455
610,GY320,Physics (Degree options: Applied Astrophysics Biomedical Theoretical),452
611,GY350,Computer Science and Information Technology,400
612,GY401,Engineering (Undenominated),401
613,GY402,Civil Engineering,424
614,GY405,Mechanical Engineering,405
615,GY406,Electronic and Computer Engineering,444
616,GY408,Biomedical Engineering,480
617,GY410,Project and Construction Management,370
618,GY413,Energy Systems Engineering,468
619,GY414,Electrical and Electronic Engineering,423
620,GY501,Medicine (5 year/6 year and embedded PhD options) includes Mature Entry,724
621,GY502,Occupational Therapy,510
622,GY503,Speech and Language Therapy,510
623,GY504,Podiatric Medicine,413
624,GY515,General Nursing (Galway and Portiuncula),440
625,GY516,Psychiatric Nursing,397
626,GY517,Midwifery,424
627,LY108,Business - Accounting,308
628,LY118,Business,280
629,LY208,Law,270
630,LY218,Business - with French/Spanish/German/Irish,235
631,LY228,Sport & Exercise - award options:Performance/Physical Education,270
632,LY408,Design (common entry with 4 Degree Award options),246
633,LY508,Fire Safety Engineering,244
634,LY518,Quantity Surveying,282
635,LY528,Construction Management,
636,LY708,Computing,276
637,LY818,Science,300
638,LY908,General Nursing,369
639,LY918,Psychiatric Nursing,317
640,LY928,Intellectual Disability Nursing,270
641,LY968,Early Childhood Care Health and Education,269
642,LY978,Health & Social Care,261
643,MI001,Contemporary & Applied Theatre Studies,316
644,MI002,Arts (offered in conjunction with the University of Limerick),336
645,MI005,Education - Primary Teaching,465
646,MI006,Education - Primary Teaching - Gaeltacht Applicants,430
647,MI007,Early Childhood Care and Education,367
648,MI008,Education and Psychology - Primary Teaching,552
649,MI009,Education Business Studies and Accounting (Thurles Campus),356
650,MI010,Education Business Studies and Religious Studies (Thurles Campus),319
651,MI011,Education Irish and Religious Studies (Thurles Campus),382
652,MI012,Education Irish and Business Studies (Thurles Campus),377
653,CI101,Counselling and Psychotherapy (Limerick),192
654,LC110,Art and Design - Portfolio,714
655,LC114,Design (Fashion Knitwear and Textiles - Portfolio),784
656,LC223,Law and Taxation,298
657,LC224,Business (Accounting and Finance),307
658,LC225,Business (Marketing and Management),316
659,LC226,Business (Enterprise and Innovation),230
660,LC231,Business Technology,280
661,LC233,Software Development,279
662,LC234,Multimedia Programming and Design,244
663,LC236,Internet Systems Development,307
664,LC239,Computer Networks and Systems Management,339
665,LC241,Construction Management,262
666,LC242,Property Valuation and Management,301
667,LC243,Quantity Surveying,308
668,LC248,Built Environment (Undenominated),316
669,LC252,Civil Engineering Management,263
670,LC265,Pharmaceutical and Forensic Analysis,356
671,LC266,Drug and Medicinal Product Analysis,316
672,LC275,Electrical Systems,272
673,LC292,Social Care Work,323
674,LC293,Business Studies with Travel and Tourism Management,262
675,LC294,Business Studies with Event Management,261
676,LC295,Business Studies with Sports Management,270
677,LC297,Community Development,251
678,LC402,Social Care Work (Thurles),284
679,LC408,Environmental and Natural Resource Management (Thurles),273
680,LC411,Business (Marketing and Management - Thurles),289
681,LC418,Computing - Games Design and Development (Thurles),251
682,LC421,Business Studies with Sports Management (Thurles),218
683,LC422,Sports Strength and Conditioning (Thurles),300
684,LC502,Game Art and Design (Clonmel - Portfolio),837
685,LC513,Business (Clonmel),251
686,LC517,Creative Media and Design (Clonmel),246
687,LC518,Digital Animation Production (Clonmel - Portfolio),786
688,LM002,Arts (offered in conjunction with Mary Immaculate College),360
689,LM020,Law and Accounting,444
690,LM026,Performing Arts (Interview/Audition),303
691,LM028,Criminal Justice,402
692,LM029,Law Plus,473
693,LM038,Psychology and Sociology,484
694,LM039,Journalism and New Media,420
695,LM040,European Studies,370
696,LM044,Applied Languages,430
697,LM050,Business Studies (optional French/German/Japanese stream),419
698,LM056,International Business,500
699,LM058,Financial Mathematics,447
700,LM063,Technology Management,371
701,LM068,Food Science and Health,419
702,LM076,Product Design and Technology,450
703,LM077,Aeronautical Engineering,487
704,LM082,Construction Management and Engineering,372
705,LM089,Sport and Exercise Sciences,476
706,LM090,Physical Education with concurrent Teacher Education,498
707,LM092,Science with Teacher Ed (Biology with Phys or Chem or Ag Science),479
708,LM093,Equine Science,359
709,LM094,Materials and Architectural Technology with Teacher Education,424
710,LM095,Materials and Engineering Technology with Teacher Education,395
711,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),414
712,LM099,Architecture (Portfolio),420
713,LM100,Physiotherapy,554
714,LM101,Medicine (Graduate Entry),54
715,LM102,Psychology,510
716,LM103,Paramedic Studies,401
717,LM115,Chemical and Biochemical Engineering,465
718,LM116,Engineering,443
719,LM118,Electronic and Computer Engineering,413
720,LM120,Aircraft Maintenance and Airworthiness Engineering,402
721,LM121,Computing Technologies,344
722,LM122,Creative Media and Interaction Design,338
723,LM123,Biological and Chemical Sciences,413
724,LM124,Mathematics,454
725,LM125,Physics,477
726,LM150,General Nursing,440
727,LM152,Mental Health Nursing,388
728,LM154,Intellectual Disability Nursing,398
729,LM156,Midwifery,430
730,MU001,Theology and Arts,301
731,MU002,Theology,888
732,MH001,Education - Primary Teaching (Froebel),485
