,Course Code,Course,EOS_2016_7_6
0,AL601,Electronics and Computer Engineering,205.0
1,AL602,Mechanical Engineering,205.0
2,AL604,Civil Engineering,280.0
3,AL630,Pharmacy Technician,270.0
4,AL631,Dental Nursing,275.0
5,AL632,Science (Bioscience/Chemistry),210.0
6,AL650,Business,215.0
7,AL651,Music and Instrument Technology,210.0
8,AL652,Business in Equine Studies,
9,AL653,Office Management and Administration,80.0
10,AL654,Accounting Technician,
11,AL657,Computing for Business,125.0
12,AL660,Culinary Arts,205.0
13,AL661,Bar Supervision,
14,AL663,Business (Sport and Recreation),200.0
15,AL701,ICT Engineering: Electronics and Wireless Network Mgt Computer Eng,200.0
16,AL703,Network Management,160.0
17,AL704,Computer Engineering,220.0
18,AL705,Software Development (Mobile Apps and Connected Devices),200.0
19,AL710,Mechanical Engineering,200.0
20,AL711,Mechanical Engineering and Renewable Energy,250.0
21,AL712,Mechatronics,225.0
22,AL713,Engineering (Common Entry to Mechanical Renewable and Mechatronic),110.0
23,AL721,Civil Engineering,140.0
24,AL730,Biotechnology,200.0
25,AL731,Veterinary Nursing,410.0
26,AL733,Forensic Toxicology,235.0
27,AL734,Pharmaceutical Science (Drug Design and Development),220.0
28,AL750,Business Computing,230.0
29,AL751,Digital Marketing,
30,AL760,Spa and Wellness Management,200.0
31,AL761,Hotel and Leisure Management,195.0
32,AL763,Graphic Design (Portfolio),505.0
33,AL764,Early Years Care and Education,280.0
34,AL765,Applied Social Studies in Social Care,270.0
35,PC402,Humanities,210.0
36,PC404,Applied Social Studies in Social Care,210.0
37,CW006,Business Studies (Wexford),120.0
38,CW017,Applied Social Studies (Professional Social Care - Wexford),160.0
39,CW027,Sustainable Farm Management and Agribusiness (Wexford),285.0
40,CW037,Business (Options: Business Digital Marketing - Wexford),180.0
41,CW046,Computing (Wexford),165.0
42,CW047,Visual Communications and Design (Wexford),205.0
43,CW057,Art (Wexford - Portfolio),700.0
44,CW067,Culture and Heritage Studies (Wexford),190.0
45,CW106,Physiology and Health Science,440.0
46,CW107,Analytical and Forensic Science,205.0
47,CW116,Pharmacy Technician Studies,325.0
48,CW117,Biosciences,225.0
49,CW126,Science - Applied Biology or Applied Chemistry,215.0
50,CW206,Computing (Options: Applications Commercial Programming Networking),230.0
51,CW207,Software Development,260.0
52,CW217,Computer Systems Management,240.0
53,CW227,Cybercrime and IT Security,280.0
54,CW407,Architectural Technology,170.0
55,CW416,Construction Technology,175.0
56,CW417,Construction - Buildings and Services Management,210.0
57,CW427,Civil Engineering,210.0
58,CW507,Aircraft Systems,335.0
59,CW517,Mechanical Engineering,270.0
60,CW527,Electronic Engineering,220.0
61,CW547,TV and Media Production,350.0
62,CW706,Legal Studies,211.0
63,CW707,Industrial Design,260.0
64,CW717,Applied Social Studies (Professional Social Care),245.0
65,CW807,Sport and Exercise (GAA - Portfolio),700.0
66,CW817,Sport and Exercise (Rugby - Portfolio),700.0
67,CW827,Sport and Exercise (Soccer - Portfolio),700.0
68,CW906,Business Studies,170.0
69,CW917,Business (Options:HRMIntl BusinessMgmtMarketing & Supply Chain Mgmt),200.0
70,CW926,Business with Law,165.0
71,CW927,Business Administration,205.0
72,CW936,Accounting,220.0
73,CR001,Applied Physics and Instrumentation,280.0
74,CR006,Applied Biosciences,355.0
75,CR007,Analytical and Pharmaceutical Chemistry,280.0
76,CR010,Agriculture (In Year 1 4 days in Clonakilty Agricultural College),320.0
77,CR011,Horticulture (In Year 1 4 days in Clonakilty Agricultural College),
78,CR016,Computing,300.0
79,CR021,Business Studies (Common Entry),300.0
80,CR022,Business Administration,280.0
81,CR023,Accounting,325.0
82,CR031,Social Care,340.0
83,CR032,Recreation and Leisure Management,310.0
84,CR035,Community Development,110.0
85,CR041,Tourism,225.0
86,CR042,Hospitality Management,245.0
87,CR046,Transport Management and Technology,215.0
88,CR051,Civil Engineering,230.0
89,CR052,Construction,220.0
90,CR053,Interior Architecture,280.0
91,CR055,Environmental Engineering,225.0
92,CR061,Electronic Engineering,275.0
93,CR062,Electrical Engineering,260.0
94,CR071,Mechanical Engineering,300.0
95,CR075,Biomedical Engineering,300.0
96,CR077,Craft Technology (Wood) with Business,220.0
97,CR078,Craft Technology - Mechanical Services,220.0
98,CR090,Architectural Technology,240.0
99,CR094,Nautical Science at National Maritime College of Ireland,285.0
100,CR095,Marine Engineering at National Maritime College of Ireland,285.0
101,CR300,Physical Sciences (Common Entry),280.0
102,CR620,Early Years Education,345.0
103,CR640,Culinary Arts,245.0
104,CR650,Bar Management,225.0
105,CR655,Culinary Studies,180.0
106,CR657,Hospitality Studies,185.0
