Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
DN401,Medicine - Graduate Entry (GAMSAT required),,58,61,8
DN410,Radiography,534,531,543,8
DN411,Radiography - Graduate Entry,,#,,8
DN420,Physiotherapy,578,568,589,8
DN425,Health and Performance Science,510,507,521,8
DN430,Sport and Exercise Management,455,433,455,8
DN440,"Biomedical, Health and Life Sciences",590,589,601,8
DN450,General Nursing,429,421,445,8
DN451,Children`s and General Nursing (Integrated),509,499,529,8
DN452,Midwifery,489,473,499,8
DN453,Mental Health Nursing,397,393,412,8
DN520,Joint Honours (options),310,310,409,8
DN530,Humanities (options),340,326,419,8
DN541,Modern Languages (options),303,300,443,8
DN600,Law (options),546,543,566,8
DN610,Business and Law,545,544,577,8
DN650,Commerce,521,521,543,8
DN660,Commerce International (options),517,510,531,8
DN670,Economics and Finance,613,613,625,8
DN700,Social Sciences (options),421,418,466,8
DN710,Economics,498,498,510,8
DN720,Psychology,530,522,543,8
DN750,Social Policy and Sociology,378,377,408,8
GA181,Accounting,309,309,403,8
GA182,Business,287,287,347,8
GA183,Business Information Systems,296,296,356,8
GA184,Marketing and Sales,307,307,357,8
GA185,Finance and Economics,293,293,392,8
GA186,Business with Entrepreneurship,280,280,356,8
GA187,Rural Enterprise and Agri-Business,281,281,352,8
GA281,Film and Documentary,304,304,379,8
GA282,Heritage Studies,220,220,281,8
GA283,Contemporary Art,679,679,870,8
GA284,Design,303,303,356,8
GA285,"Education (Art, Design and Graphics)",,,,8
GA380,International Hotel Management,242,242,330,8
GA381,International Tourism Management,278,278,350,8
GA382,Culinary and Gastronomic Science,206,206,337,8
GA384,Event Management with Public Relations,212,212,328,8
GA480,Construction Management,260,260,336,8
GA482,Quantity Surveying and Construction Economics,288,288,350,8
GA483,Architectural Technology,265,265,337,8
GA484,Civil Engineering,290,290,383,8
GA580,Software and Electronic Engineering,300,300,393,8
GA680,Mechanical Engineering,330,330,401,8
GA681,Energy Engineering,293,293,366,8
GA682,Biomedical Engineering,313,313,393,8
GA683,Agricultural Engineering,309,309,385,8
GA684,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),340,340,405,8
GA685,Manufacturing Engineering Design,309,309,379,8
GA780,Applied Freshwater and Marine Biology,327,327,377,8
GA781,Applied Biology and Biopharmaceutical Science,337,337,390,8
GA782,Chemical and Pharmaceutical Science,336,336,388,8
GA783,Physics and Instrumentation,363,363,408,8
GA784,Science (Undenominated),372,372,403,8
GA785,Medical Science,473,473,500,8
GA786,Forensic Science and Analysis,317,317,387,8
GA787,Computing in Software Development,270,270,315,8
GA788,Computing and Digital Media,274,282,356,8
GA789,Agriculture and Environmental Management,287,289,371,8
GA790,Sport and Exercise Science,356,356,409,8
GA791,Public Health Nutrition,368,368,409,8
GA880,General Nursing,429,422,441,8
GA882,Psychiatric Nursing,367,367,377,8
GA885,Outdoor Education,252,252,262,8
GA887,History and Geography,244,244,380,8
GA889,Applied Social Care,266,266,298,8
GA890,Early Childhood Education and Care,270,270,327,8
