,Course Code,Course,EOS_2018_7_6
0,AL601,Electronics and Computer Engineering,240.0
1,AL602,Mechanical Engineering,201.0
2,AL604,Civil Engineering,243.0
3,AL630,Pharmacy Technician,306.0
4,AL631,Dental Nursing,307.0
5,AL632,Science (Bioscience/Chemistry),216.0
6,AL650,Business,200.0
7,AL651,Music and Instrument Technology,
8,AL652,Business in Equine,
9,AL660,Culinary Arts,
10,AL661,Bar Supervision,150.0
11,AL663,Business (Sport and Recreation),181.0
12,AL701,ICT Engineering: Computer Eng or Network Mgmnt or Electronic Comms,210.0
13,AL704,Computer Engineering,205.0
14,AL705,Software Development (Mobile Apps and Connected Devices),207.0
15,AL710,Mechanical Engineering,218.0
16,AL711,Mechanical Engineering and Renewable Energy,252.0
17,AL712,Mechatronics,283.0
18,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),223.0
19,AL721,Civil Engineering,245.0
20,AL730,Biotechnology,206.0
21,AL731,Veterinary Nursing,398.0
22,AL733,Forensic Toxicology,215.0
23,AL734,Pharmaceutical Sciences (Drug Development and Analysis),214.0
24,AL751,Digital Marketing,222.0
25,AL761,Hotel and Leisure Management,208.0
26,AL763,Graphic Design (Portfolio Required),783.0
27,AL764,Early Years Care and Education,270.0
28,AL765,Applied Social Studies in Social Care,278.0
29,CW006,Business (Wexford),129.0
30,CW017,Applied Social Studies - Professional Social Care (Wexford),162.0
31,CW027,Sustainable Farm Management and Agribusiness (Wexford),222.0
32,CW037,Business (with options - Wexford),195.0
33,CW046,Computing (Wexford),
34,CW047,Visual Communications and Design (Wexford),198.0
35,CW057,Art (Portfolio - Wexford),700.0
36,CW106,Physiology and Health Science,454.0
37,CW107,Analytical Science,213.0
38,CW116,Pharmacy Technician Studies,287.0
39,CW117,Biosciences,214.0
40,CW126,Science - Applied Biology or Applied Chemistry,198.0
41,CW206,Computing - Applications or Programming,200.0
42,CW207,Software Development,251.0
43,CW217,Information Technology Management,234.0
44,CW227,Cybercrime and IT Security,251.0
45,CW407,Architectural Technology,186.0
46,CW417,Construction Management with Building Services,226.0
47,CW427,Civil Engineering,200.0
48,CW507,Aircraft Systems,281.0
49,CW517,Mechanical Engineering,264.0
50,CW527,Electronic Engineering,217.0
51,CW547,TV and Media Production,326.0
52,CW706,Legal Studies,202.0
53,CW707,Industrial Design,207.0
54,CW717,Applied Social Studies - Professional Social Care,240.0
55,CW807,Sports Coaching and Business Management - GAA (Portfolio),700.0
56,CW817,Sports Coaching and Business Management - Rugby (Portfolio),700.0
57,CW827,Sports Coaching and Business Management - Soccer (Portfolio),700.0
58,CW906,Business,171.0
59,CW917,Business (with options),208.0
60,CW926,Business with Law,208.0
61,CW927,Business Administration,242.0
62,CW936,Accounting,207.0
63,PC402,Humanities,
64,PC404,Applied Social Studies in Social Care,
65,CR001,Applied Physics and Instrumentation,297.0
66,CR006,Applied Biosciences (Degree award options),360.0
67,CR007,Analytical and Pharmaceutical Chemistry,292.0
68,CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),289.0
69,CR016,Software Development,270.0
70,CR021,Business (Common Entry - Degree award options),240.0
71,CR022,Business Administration,192.0
72,CR031,Social Care,326.0
73,CR032,Recreation and Leisure Management,260.0
74,CR035,Community Development,117.0
75,CR041,Tourism Management,185.0
76,CR042,Hospitality Management,182.0
77,CR046,Automotive Technology and Management,200.0
78,CR051,Civil Engineering,226.0
79,CR052,Construction (Degree award options),225.0
80,CR053,Interior Architecture,252.0
81,CR055,Environmental Engineering,226.0
82,CR061,Electronic Engineering,251.0
83,CR062,Electrical Engineering,250.0
84,CR071,Mechanical Engineering,270.0
85,CR075,Biomedical Engineering,312.0
86,CR090,Architectural Technology,244.0
87,CR094,Nautical Science at National Maritime College of Ireland,257.0
88,CR095,Marine Engineering at National Maritime College of Ireland,241.0
89,CR300,Physical Sciences (Common Entry),300.0
90,CR620,Early Years Education,341.0
91,CR640,Culinary Arts,197.0
92,CR650,Beverage Industry Management,120.0
93,CR655,Culinary Studies,139.0
94,CR657,Hospitality Studies,154.0
95,CR805,Marine Electrotechnology at National Maritime College of Ireland,244.0
96,CR888,Information Technology,280.0
97,CT110,Computing in Information Technology,130.0
98,CT116,Information Technology,170.0
99,DS602,Computing and Multimedia,
100,DS603,Computing and Multimedia,206.0
101,DS701,Business,120.0
102,DS702,Computing and Multimedia,200.0
103,DB513,Business,190.0
104,DB522,Business in Accounting,197.0
105,DB528,Applied Social Care,129.0
106,DB533,Business in Marketing,187.0
107,DB534,Sound Engineering and Music Production,164.0
108,DB563,Arts,136.0
109,DB571,Business Studies,146.0
110,DB572,Business in Accounting,117.0
111,DB573,Business in Marketing,135.0
112,DB574,Business in Information Technology,144.0
113,DB575,Social Studies,158.0
114,DB576,Film and Media,
