Course Code,Course,EOS_2017_7_6,Mid
AL601,Electronics and Computer Engineering,228,420
AL602,Mechanical Engineering,212,303
AL604,Civil Engineering,,281
AL630,Pharmacy Technician,290,356
AL631,Dental Nursing,273,336
AL632,Science (Bioscience/Chemistry),190,371
AL650,Business,200,310
AL651,Music and Instrument Technology,,307
AL652,Business in Equine,,296
AL660,Culinary Arts,183,281
AL661,Bar Supervision,,173
AL663,Business (Sport and Recreation),185,283
AL701,ICT Engineering: Electronics and Wireless Network Mgt Computer Eng,218,293
AL704,Computer Engineering,206,341
AL705,Software Development (Mobile Apps and Connected Devices),204,298
AL710,Mechanical Engineering,206,285
AL711,Mechanical Engineering and Renewable Energy,206,300
AL712,Mechatronics,252,402
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng,244,320
AL721,Civil Engineering,225,318
AL730,Biotechnology,206,368
AL731,Veterinary Nursing,400,451
AL733,Forensic Toxicology,209,359
AL734,Pharmaceutical Science (Drug Development and Analysis),218,311
AL751,Digital Marketing,207,291
AL761,Hotel and Leisure Management,206,290
AL763,Graphic Design (Portfolio),750,878
AL764,Early Years Care and Education,268,377
AL765,Applied Social Studies in Social Care,280,346
CW006,Business Studies (Wexford),128,309
CW017,Applied Social Studies - Professional Social Care (Wexford),161,225
CW027,Sustainable Farm Management and Agribusiness (Wexford),254,328
CW037,Business - Business or Digital Marketing (Wexford),187,337
CW046,Computing (Wexford),181,233
CW047,Visual Communications and Design (Wexford),200,327
CW057,Art (Wexford - Portfolio),700,700
CW106,Physiology and Health Science,420,476
CW107,Analytical Science,215,371
CW116,Pharmacy Technician Studies,325,377
CW117,Biosciences,213,367
CW126,Science - Applied Biology or Applied Chemistry,215,327
CW206,Computing – Applications or Programming,231,265
CW207,Software Development,240,308
CW217,Information Technology Management,249,346
CW227,Cybercrime and IT Security,260,309
CW407,Architectural Technology,181,290
CW416,Construction Technology,207,251
CW417,Construction – Management with Building Services,217,283
CW427,Civil Engineering,200,326
CW507,Aircraft Systems,308,372
CW517,Mechanical Engineering,280,314
CW527,Electronic Engineering,223,289
CW547,TV and Media Production,325,387
CW706,Legal Studies,207,342
CW707,Industrial Design,262,360
CW717,Applied Social Studies - Professional Social Care,240,310
CW807,Sports Coaching and Business Management (GAA - Portfolio),700,700
CW817,Sports Coaching and Business Management (Rugby - Portfolio),700,700
CW827,Sports Coaching and Business Management (Soccer - Portfolio),700,700
CW906,Business Studies,173,260
CW917,Business,211,346
CW926,Business with Law,171,318
CW927,Business Administration,214,368
CW936,Accounting,215,336
PC402,Humanities,105,327
PC404,Applied Social Studies in Social Care,,222
CR001,Applied Physics and Instrumentation,287,476
CR006,Applied Biosciences,361,452
CR007,Analytical and Pharmaceutical Chemistry,280,476
CR010,Agriculture (In Year 1 Clonakilty Agri College and CIT),292,376
CR011,Horticulture (In Year 1 Clonakilty Agri College and CIT),170,356
CR016,Software Development,270,361
CR021,Business (Common Entry),290,410
CR022,Business Administration,241,289
CR031,Social Care,326,387
CR032,Recreation and Leisure Management,290,366
CR035,Community Development,169,228
CR041,Tourism Management,213,318
CR042,Hospitality Management,209,306
CR046,Automotive Technology and Management,221,276
CR051,Civil Engineering,233,390
CR052,Construction,225,306
CR053,Interior Architecture,260,368
CR055,Environmental Engineering,225,401
CR061,Electronic Engineering,291,394
CR062,Electrical Engineering,277,368
CR071,Mechanical Engineering,280,409
CR075,Biomedical Engineering,331,466
CR090,Architectural Technology,244,357
CR094,Nautical Science at National Maritime College of Ireland,285,369
CR095,Marine Engineering at National Maritime College of Ireland,262,362
CR300,Physical Sciences (Common Entry),282,423
CR620,Early Years Education,340,419
CR640,Culinary Arts,208,358
CR650,Beverage Industry Management,215,298
CR655,Culinary Studies,154,290
CR657,Hospitality Studies,181,213
CR805,Marine Electrotechnology at National Maritime College of Ireland,220,340
CR888,Information Technology,274,357
CT110,Computing in Information Technology,154,317
CT116,Information Technology,143,206
CT316,Business,154,187
DS601,Business,207,318
DS602,Computing and Multimedia,254,254
DS603,Computing and Multimedia,272,473
DS701,Business,207,278
DS702,Computing and Multimedia,128,263
DB513,Business,128,225
DB522,Business in Accounting,,302
DB533,Business in Marketing,154,252
DB563,Arts,117,292
DB571,Business Studies,181,348
DB572,Business in Accounting,118,357
DB573,Business in Marketing,100,289
DB574,Business in Information Technology,155,188
DB575,Social Studies,122,326
DB576,Film and Media,108,297
DB578,Journalism and Media,146,331
DB580,Legal Studies,113,358
DB581,Legal and Business Studies,137,378
DB582,Legal Studies,136,330
DB583,Legal and Business Studies,173,446
DT002,Engineering Systems Maintenance,232,294
DT003,Automation Engineering,290,339
DT004,Civil Engineering,270,338
DT005,Building Services Engineering,232,298
DT006,Mechanical Engineering,321,372
DT007,Automotive Management and Technology,240,299
DT008,Electronics and Communications Engineering,254,329
DT009,Electrical and Control Engineering,251,319
DT010,Electrical Services Engineering,255,326
DT011,Aviation Technology,341,404
DT080,Networking Technologies,250,357
DT097,Engineering (General Entry),370,476
DT104,Auctioneering Valuation and Estate Agency,279,350
DT169,Timber Product Technology,262,358
DT212,Science (General Entry),381,484
