Course Code,Course,EOS_2017_7_6,Mid
DT219,Ophthalmic Dispensing,312,401
DT259,Biosciences,380,467
DT260,Industrial and Environmental Physics,262,412
DT261,Medicinal Chemistry and Pharmaceutical Sciences,340,463
DT303,Marketing,350,409
DT315,Business Studies,340,446
DT324,Business Management,340,434
DT360,Retail Management and Marketing,300,331
DT404,Food Sales and Culinary Practice,241,318
DT406,Tourism Management,280,359
DT408,Hospitality Management,270,346
DT411,Leisure Management,251,326
DT418,Baking and Pastry Arts Management,254,381
DT424,Food Science and Management,290,367
DT425,Pharmacy Technician Studies,357,435
DT432,Culinary Arts (Professional Culinary Practice),200,326
DT598,Visual Merchandising and Display,494,815
DL701,Business - Applied Entrepreneurship,109,297
DL704,Creative Music Production,890,984
GC240,Computing (Cork),,240
GC265,Journalism (Cork),120,300
GC306,International Hospitality Management (Limerick),293,410
GC311,Business (Limerick),160,377
GC316,Business (Limerick),244,244
GC335,Computing (Limerick),392,498
GC340,Computing (Limerick),309,309
GC406,International Hospitality Management (Dublin),142,246
GC410,Marketing (Dublin),216,296
GC411,Business (Dublin),,270
GC416,Business (Dublin),177,288
GC425,Legal Studies (Dublin),,299
GC435,Computing (Dublin),118,226
GC440,Computing (Dublin),191,220
GC460,Music Production for Games (Dublin - Portfolio required),,,
GC465,Journalism (Dublin),127,375
GC466,Film and TV Production (Dublin),102,330
GC470,Photographic Media (Dublin),,271
GC475,Photography (Dublin),,270
GC490,Interior Design (Dublin),146,321
GC491,Art and Design (Dublin),,,
BN001,Computer Engineering,182,222
BN002,Computing (Information Technology),195,275
BN003,Business,188,249
BN009,Mechatronic Engineering,190,268
BN010,Business and Information Technology,180,291
BN011,Applied Social Studies in Social Care,271,348
BN012,Computer Engineering,194,260
BN013,Computing (Information Technology),101,252
BN014,Business,180,290
BN015,Engineering (Common Entry - Computer EngineeringMechatronics),133,271
BN016,Business (Common Entry-BusinessBus with ITIntl BusAcc & FinDig,108,259
BN017,International Business,180,346
BN020,Sports Management and Coaching,252,311
BN021,Creative Digital Media,125,308
BN022,Horticulture,143,309
BN025,Community and Youth Development,117,266
BN030,Early Childhood Care and Education,230,347
BN034,Digital Forensics and Cyber Security,190,331
BN040,Digital Marketing,190,272
TA006,Culinary Arts,101,249
TA014,Advertising and Marketing Communications (Portfolio),629,871
TA015,International Hospitality and Tourism Management,117,234
TA106,Business (Common entry),179,268
TA111,Accounting and Finance,170,316
TA113,Management,172,272
TA114,Marketing,170,277
TA116,International Business,170,358
TA201,Electronic Engineering,109,187
TA203,Mechanical Engineering,136,257
TA213,Mechanical Engineering,180,280
TA215,Energy and Environmental Engineering,217,299
TA216,Electronic Engineering,155,265
TA218,Biomedical Design,191,310
TA301,Applied Biology,187,319
TA302,Computing,198,268
TA311,Bioanalysis,188,310
TA312,Computing,200,289
TA313,Information Technology Management,205,259
TA314,Pharmaceutical Science,244,303
TA315,DNA and Forensic Analysis,242,349
TA316,Sports Science and Health,335,414
NC102,Computing in Applications and Support,234,320
NC103,Business,260,298
NC104,Business Computing,231,279
PI201,Montessori Education,148,321
NM701,Montessori Education,136,337
TR801,Dental Nursing,346,419
TR802,Dental Hygiene,398,462
TR803,Dental Technology,363,398
DK615,Front Office Management and Business Administration,,
DK620,Computing and Business,,
DK640,Applied Engineering,,
DK650,Culinary Arts,108,206
DK651,Hospitality Studies,,207
DK710,Business and Management,157,336
DK711,Business and Technology,186,338
DK712,Digital Marketing Communication and Public Relations,165,326
DK721,Computing,156,305
DK740,Engineering - Electrical and Electronic Systems,170,288
DK742,Engineering - Mechanical Engineering,120,297
DK744,Engineering - Civil Engineering,205,287
DK745,Construction Technology,156,269
DK750,Hospitality Management,173,265
DK752,Event Management,161,297
DK753,Culinary Arts,200,298
DK763,Sport Exercise and Enterprise,209,308
DK767,Community Youth Work,220,320
DK769,Media Arts and Technologies,173,331
DK770,Theatre & Film Practice,184,370
DK781,Science - Applied Bioscience,183,339
DK783,Science - Pharmaceutical Science,209,337
DK784,Veterinary Nursing,388,429
GA170,Business,246,377
GA171,Business Information Systems,257,390
GA172,Rural Enterprise and Agri-Business - Mountbellew Campus,270,329
GA174,Business in Marketing and Sales,286,371
GA175,Business in Finance,311,444
GA176,Business with Entrepreneurship,270,367
GA272,Heritage Studies,211,319
GA273,Contemporary Art,209,377
GA274,Design,243,358
GA360,Tourism,,
GA361,Culinary Arts,190,338
GA362,Hotel and Hospitality Operations,161,256
GA370,Hotel and Catering Management,163,298
GA372,Culinary Arts Management,,
GA375,Retail Management,162,272
GA376,Event Management with Public Relations,202,328
GA377,International Tourism Management,160,343
GA460,Construction Management,207,263
GA461,Quantity Surveying and Construction Economics,203,300
GA462,Architectural Technology,228,387
GA463,Civil Engineering,215,262
GA470,Construction Management,251,324
GA471,Quantity Surveying and Construction Economics,200,327
GA472,Architectural Technology,213,350
GA473,Civil Engineering,263,384
GA570,Computer and Electronic Engineering,205,368
GA670,Mechanical Engineering,260,393
GA673,Energy Engineering,260,378
GA674,Biomedical Engineering,308,420
GA675,Agricultural Engineering,289,375
GA770,Applied Freshwater and Marine Biology,281,359
GA771,Applied Biology and Biopharmaceutical Science,282,410
GA772,Chemical and Pharmaceutical Science,287,432
GA773,Physics and Instrumentation,327,477
GA774,Science (Undenominated),283,429
GA775,Computing in Software Development,275,357
GA776,Computing and Digital Media,260,327
GA777,Agriculture and Environmental Management - Mountbellew Campus,290,368
GA870,Outdoor Education and Leisure - Mayo Campus,163,286
GA871,Early Childhood Care and Education - Mayo Campus,215,338
GA877,Business - Mayo Campus,168,348
GA878,Accounting and Financial Management - Mayo Campus,169,307
GA879,Applied Social Care - Mayo Campus,270,347
GA970,Furniture Design and Manufacture - Letterfrack Campus,216,336
GA971,Furniture and Wood Technology - Letterfrack Campus,198,366
GB001,Business,108,240
LY107,Business - Common Entry (award options:Accounting/Management/Mark,162,326
LY116,Business - Administration IT & Customer Service,126,240
LY206,Sports Studies,101,251
LY207,Law - with Criminal Justice/French/Spanish/German/Irish,163,336
LY317,Culinary Arts at Killybegs Co Donegal,168,288
LY327,Hospitality and Tourism (Common Entry),170,227
LY336,Bar and Restaurant Supervision at Killybegs Co Donegal,100,222
LY346,Culinary Arts at Killybegs Co Donegal,,178
LY406,Photography,,252
LY427,Digital Film and Video,178,293
LY437,Animation,171,318
LY447,Fashion with Promotion,168,327
LY457,Graphic and Digital Design,,
LY507,Quantity Surveying,162,298
LY527,Civil Engineering,190,327
LY547,Architectural Technology,162,332
LY607,Electronic/Computer Engineering,172,331
LY617,Mechanical Engineering,170,331
LY707,Computer Games Development,194,303
LY717,Computing,171,274
LY737,Computer Security and Digital Forensics,208,297
LY806,Pharmacy Technician,167,259
LY816,Dental Nursing,162,290
LY817,Bioscience,241,369
LY837,Food Science and Nutrition,179,288
LY847,Veterinary Nursing,357,389
LY867,Pharmaceutical & Medicinal Science,167,282
LY877,Agriculture,204,313
LY906,Early Childhood Care Health and Education,128,280
LY916,Health and Social Care,128,296
CI001,Counselling Skills and Psychotherapy Studies (Limerick),,298
CI002,Counselling Skills and Addiction Studies (Limerick),136,269
CI005,Counselling Skills and Youth Studies (Limerick),128,307
LC111,Design (Fashion Knitwear and Textiles - Portfolio),784,930
LC221,Business (Accounting and Finance),251,430
LC222,Business (Marketing and Management),279,381
LC228,Sports Development and Coaching,261,328
LC232,Business Computing,260,350
LC235,Internet Systems Development,207,313
LC244,Sustainable Building and Energy Engineering,262,350
LC251,Civil Engineering,200,388
LC253,Construction,200,312
LC256,Construction Practice,,235
LC257,Interior Design and Technology,233,359
LC260,Applied Biology,233,408
LC264,Environmental and Analytical Science,223,368
LC267,Pharmaceutical and Forensic Analysis,291,398
LC268,Medical Technology,272,367
LC270,Music Technology and Production,325,393
LC271,Industrial Electrical Engineering,220,320
LC276,Broadcast Screen Production,242,317
LC277,Industrial Automation and Robotic Systems,225,356
LC278,Renewable and Electrical Energy Systems,205,318
LC279,Electronic Engineering,262,371
LC281,Automobile Technology,201,275
LC284,Agricultural Mechanisation (Salesian Agricultural College Pallaskenry),188,301
LC285,Mechanical Engineering,236,369
LC286,Road Transport Technology and Management,237,324
LC287,Precision Engineering,255,323
LC296,Hotel Front Office Management,182,294
LC298,Culinary Arts,251,351
LC299,Hospitality Studies,204,288
LC403,Computing (Thurles),216,340
LC412,Business (Marketing and Management - Thurles),231,360
LC423,Sports Strength and Conditioning (Thurles),200,311
LC425,Environmental and Natural Resource Management (Thurles),244,300
LC428,Environmental Management in Agriculture (Thurles),232,274
LC432,Early Childhood Care and Education (Thurles),216,348
LC501,Business (Clonmel),202,318
LC504,Creative Media and Design (Clonmel),197,329
LC602,Social Care Work (Ennis),268,348
LM180,Equine Science,301,398
AS201,Nutrition Food and Business Management,262,418
SG101,Business,100,253
SG105,Business in Office Administration,100,225
SG108,Business in Accounting,210,382
SG131,Computing - Games Development,216,280
SG134,Applied Sport with Business,,270
SG135,Business in Tourism with Event Management,179,280
SG136,Computing - Software Development,218,329
SG137,Computing - Systems and Networking,198,237
SG231,Fine Art (Interview),350,387
SG232,Creative Design,200,273
SG235,Performing Arts (Theatre Design),225,367
SG236,Performing Arts (Acting),198,305
SG301,Civil Engineering,137,283
SG302,Construction Economics,280,364
SG303,Mechanical Engineering,100,307
SG305,Electronic and Computer Engineering,156,188
SG306,Mechatronics,162,306
SG307,Precision Engineering and Design,145,326
SG331,Interior Architecture and Design,191,318
SG332,Advanced Wood and Sustainable Building Technology,156,315
SG333,Mechanical Engineering,182,308
SG334,Mechatronics,249,326
SG336,Precision Engineering and Design,264,360
SG337,Electronic and Computer Engineering,228,327
SG338,Civil Engineering,190,312
SG339,Quantity Surveying,170,283
SG401,Science,120,292
SG403,Applied Archaeology,134,345
SG430,Agri-Food Science,234,339
SG431,Pharmaceutical Science with Drug Development,251,318
SG432,Environmental Protection,269,431
SG433,Occupational Safety and Health,243,298
SG434,Human Nutrition,346,434
SG435,Health Science and Physiology,321,409
SG436,Biomedical Science,265,408
SG437,Forensic Investigation and Analysis,248,336
SG438,Applied Archaeology,223,351
SG535,Business Administration,233,346
SG536,Business,171,356
SG537,Marketing and Sales,138,243
SG538,Web Development and Creative Media,188,285
SG539,Digital Marketing,189,270
TL605,Business Studies (Office Information Systems),224,336
TL620,Culinary Arts,162,219
TL621,Hospitality Studies,122,182
TL651,Science (Biological and Environmental Studies),250,329
TL710,Computing with Software Development,217,269
TL711,Computing with Games Development,211,297
TL712,Computing with Media Development,261,404
TL719,Culinary Arts,205,327
TL720,Travel and Tourism Management,268,317
TL731,Business (Major Specialism in: Accounting or Marketing),213,341
TL744,Agricultural Engineering,270,362
TL745,Civil and Environmental Engineering,288,358
TL747,Engineering in Manufacturing and Mechatronics Engineering,244,309
TL748,Agricultural Science,293,378
TL755,Pharmaceutical Science,260,413
TL758,Animal Bioscience,314,393
TL771,Health and Leisure,222,339
TL772,Health and Leisure with Massage,231,350
TL780,Early Childhood Care and Education,222,317
TL781,Social Care,235,299
WD003,Business,190,307
WD010,Electronic Engineering,194,293
WD011,Mechanical Engineering,198,293
WD013,Legal Studies,191,377
WD018,Applied Social Studies in Social Care,195,298
WD019,Recreation and Sport Management,213,288
WD040,Building Services Engineering,235,337
WD076,Forestry,207,314
WD094,Architectural Technology,209,329
WD096,Horticulture (Waterford - Kildalton),191,332
WD097,Horticulture (Dublin - National Botanic Gardens),219,374
WD126,Agriculture,349,420
WD139,Civil Engineering,203,339
WD151,Software Systems Development,197,308
WD153,Multimedia Applications Development,190,312
WD155,Information Technology,190,278
WD159,Business,204,346
WD164,Food Science with Business,233,377
WD172,Culinary Arts,196,290
WD173,Hospitality Studies,197,271
WD174,Tourism,190,273
WD175,Pharmaceutical Science,225,367
WD176,Applied Biology,242,398
WD177,Science (Agricultural Applied Biology Food Pharmaceutical),357,430
WD182,Electrical Engineering,196,269
WD184,Retail Management,190,278
WD188,Applied Health Care,249,357
