,Course Code,Course,EOS_2018
0,AL801,Software Design (Game Development or Cloud Computing),295
1,AL810,Quantity Surveying,300
2,AL820,Mechanical and Polymer Engineering,299
3,AL830,General Nursing,418
4,AL832,Psychiatric Nursing,377
5,AL836,Health Science with Nutrition,354
6,AL837,Sports Science with Exercise Physiology,346
7,AL838,Biotechnology,301
8,AL839,Microbiology,318
9,AL840,Pharmaceutical Science,312
10,AL841,Athletic and Rehabilitation Therapy,402
11,AL842,Bioveterinary Science,304
12,AL843,Physical Activity and Health Science,317
13,AL844,Toxicology and Analytical Science,337
14,AL850,Business,308
15,AL851,Business and Law,300
16,AL852,Accounting (with optional placement),306
17,AL853,Accounting and Law,377
18,AL855,Hospitality Management (with International Placement),310
19,AL860,Social Care Practice,300
20,AL861,Animation and Illustration (Portfolio /Interview Required),789
21,AL870,Applied Psychology (4 year programme),366
22,CW018,Business (with options - Wexford),250
23,CW028,Early Childhood Education and Care (Wexford),249
24,CW038,Art (Portfolio - Wexford),700
25,CW068,Applied Social Studies - Professional Social Care (Wexford),260
26,CW078,Sustainable Farm Management and Agribusiness (Wexford),270
27,CW088,Visual Communications and Design (Wexford),270
28,CW108,Biosciences (with options),276
29,CW178,Sport Science (with options),390
30,CW188,Sport Rehabilitation and Athletic Therapy,440
31,CW208,Computer Games Development,280
32,CW238,Software Development,298
33,CW248,Information Technology Management,288
34,CW258,Cybercrime and IT Security,290
35,CW438,Construction (with options QSY/FBS),263
36,CW468,Architectural Technology,260
37,CW478,Civil Engineering,331
38,CW548,Mechanical Engineering,323
39,CW558,Electronic Systems,262
40,CW568,Aerospace Engineering,368
41,CW578,TV and Media Production,360
42,CW708,Law - LLB,298
43,CW728,Product Design Innovation,252
44,CW748,Early Childhood Education and Care,275
45,CW758,Applied Social Studies - Professional Social Care,270
46,CW808,Media and Public Relations,252
47,CW858,Sport Management and Coaching (with options - Portfolio required),700
48,CW908,Business (with options),270
49,CW938,Business with Law,281
50,CW948,Accounting,307
51,PC405,Citizenship and Community Studies,227
52,PC410,Humanities (fulfils Teaching Council requirements),219
53,PC411,English and History (fulfils Teaching Council requirements),228
54,CR105,Chemical and Biopharmaceutical Engineering,444
55,CR106,Software Development,350
56,CR108,Mechanical Engineering,416
57,CR109,Structural Engineering,366
58,CR112,Creative Digital Media,336
59,CR116,Computer Systems,316
60,CR121,Music at CIT Cork School of Music,628
61,CR125,Popular Music: Electric Bass Guitar at CIT Cork School of Music,836
62,CR126,Popular Music: Drums at CIT Cork School of Music,697
63,CR127,Popular Music: Electric Guitar at CIT Cork School of Music,704
64,CR128,Popular Music: Keyboards at CIT Cork School of Music,708
65,CR129,Popular Music: Voice at CIT Cork School of Music,607
66,CR150,Business Information Systems,316
67,CR210,Contemporary Applied Art (Ceramics Glass Textiles) at CIT Crawford,666
68,CR220,Fine Art at CIT Crawford College of Art and Design,565
69,CR305,Physical Sciences (Common Entry),320
70,CR310,IT Management,290
71,CR312,Web Development,290
72,CR320,Biomedical Science - Offered jointly by CIT and UCC,521
73,CR325,Pharmaceutical Biotechnology,371
74,CR333,Nutrition and Health Science,350
75,CR335,Biological Sciences (Common Entry),381
