,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020
345,DC111,Business Studies,488,488,507
346,DC112,Global Business (France),517,510,532
347,DC113,Global Business (Germany),462,462,496
348,DC114,Global Business (Spain),522,522,545
349,DC115,Accounting and Finance,510,510,544
350,DC116,Global Business (USA),579,579,601
351,DC117,Aviation Management / Aviation Management with Pilot Studies,476,475,500
352,DC118,Gnó agus Gaeilge / Business and Irish,359,359,429
353,DC119,Global Business (Canada),564,564,577
354,DC120,Enterprise Computing,357,357,392
355,DC121,Computer Applications,400,400,455
356,DC123,Data Science,465,465,531
357,DC126,Actuarial Mathematics,560,560,578
358,DC127,Common Entry into Actuarial and Financial Mathematics,532,520,543
359,DC131,Communication Studies,407,402,451
360,DC132,Journalism,429,422,466
361,DC133,Multimedia,411,410,451
362,DC155,Applied Language and Translation Studies,387,387,444
363,DC161,Analytical Science,498,489,510
364,DC162,Chemical and Pharmaceutical Sciences,521,521,544
365,DC166,Environmental Science and Technology,433,399,441
366,DC168,Genetics and Cell Biology,512,510,529
367,DC175,Physics General Entry (options),419,402,467
368,DC181,Biotechnology,499,495,511
369,DC190,Electronic and Computer Engineering (with choice of four majors),413,413,465
370,DC193,Mechatronic Engineering,411,411,487
371,DC195,Mechanical and Manufacturing Engineering,425,425,487
372,DC197,Biomedical Engineering,423,423,477
373,DC200,Common Entry into Engineering (Undenominated Entry),422,422,487
374,DC201,Common Entry into Science (Undenominated Entry),498,488,499
375,DC202,Sport Science and Health,500,498,521
376,DC203,Science Education,435,435,487
377,DC204,Athletic Therapy and Training,522,519,533
378,DC205,Physical Education with Biology,531,531,553
379,DC206,Physical Education with Mathematics,499,499,520
380,DC208,Psychology,532,521,533
381,DC209,Health and Society,465,440,466
382,DC215,General Nursing,454,433,462
383,DC216,Mental Health Nursing,418,403,424
384,DC217,Intellectual Disability Nursing,370,370,390
385,DC218,Children`s and General Nursing (Integrated),500,498,522
386,DC230,"Economics, Politics and Law",435,435,462
387,DC231,International Relations,397,397,433
388,DC232,Law and Society (BCL),466,466,496
389,DC235,Education and Training - Daytime and Flexible Delivery Mode (full-time),309,309,357
390,DC238,Social Sciences and Cultural Innovation,377,377,411
391,DC239,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",430,430,473
392,DC240,"Marketing, Innovation and Technology",476,474,498
393,DC291,Arts (Joint Honours) - Media Studies,376,376,409
394,DC292,Arts (Joint Honours) - Law,403,403,430
395,DC293,Arts (Joint Honours) - International Languages,377,377,466
396,DC295,Arts (Joint Honours) - Politics,376,376,409
397,DK710,Business and Management,120,120,352
398,DK711,Business and Technology,191,191,327
399,DK712,Digital Marketing and Public Relations,100,100,349
400,DK721,Computing,106,106,326
401,DK722,Augmented and Virtual Reality,144,144,348
402,DK730,Building Surveying,165,165,330
403,DK731,Architectural Technology,332,332,392
404,DK732,Construction Management,120,120,321
405,DK740,Engineering - Electrical and Electronic Systems,179,179,339
406,DK742,Engineering - Mechanical Engineering,166,166,312
407,DK744,Engineering - Civil Engineering,190,157,341
408,DK750,Hospitality Management,176,176,279
409,DK752,Event Management,175,175,347
410,DK753,Culinary Arts,182,182,387
411,DK763,"Sport, Exercise and Enterprise",233,225,329
412,DK767,Community Youth Work (interview),240,240,330
413,DK768,Audio and Music Production,261,261,361
414,DK769,Creative Media,165,165,318
415,DK770,Theatre & Film Practice,190,190,388
416,DK771,Musical Theatre (audition),,,
417,DK781,Science - Bioscience,358,208,381
418,DK783,Science - Pharmaceutical Science,349,210,362
419,DK784,Veterinary Nursing,399,399,445
420,DK810,Accounting and Finance,305,305,401
421,DK816,Business Studies,300,300,367
422,DK820,Computing in Games Development,311,311,348
423,DK821,Computing in Software Development,302,302,361
424,DK822,Augmented and Virtual Reality,307,304,380
425,DK830,Building Surveying,336,336,352
426,DK831,Architectural Technology,389,389,433
427,DK832,Construction Management,387,387,419
428,DK843,Engineering (Common Entry),340,340,439
429,DK844,Mechanical Engineering,305,305,448
430,DK845,Electrical & Electronic Engineering,304,304,392
431,DK846,Civil Engineering,391,361,392
432,DK850,International Tourism Management,317,317,377
433,DK860,Music (audition),532,503,634
434,DK861,Arts,302,302,363
435,DK862,Social Care,301,301,347
436,DK863,Creative Media,308,308,337
437,DK864,Film and Television Production,300,300,402
438,DK865,Audio and Music Production,301,301,367
439,DK870,General Nursing,403,397,419
440,DK872,Intellectual Disability Nursing,336,336,358
441,DK874,Mental Health Nursing,356,356,379
442,DK876,Early Childhood Studies,321,321,388
443,DK877,Midwifery,440,440,470
444,DK880,Health and Physical Activity,328,328,389
445,DK882,Agriculture (Award options),310,310,380
446,DK883,Science (Award options),358,300,370
447,DK884,Sustainable Agriculture,,,
448,DK885,Agri-Food Production,,,
449,DK886,Biopharmaceutical Science,301,301,338
450,DK887,Environmental Science,330,330,589
451,DL701,Business - Applied Entrepreneurship,AQA,AQA,359
452,DL821,"English, Media and Cultural Studies",212,212,347
453,DL822,Arts Management,229,235,337
454,DL823,Business Management,235,237,325
455,DL825,Applied Psychology,379,379,434
456,DL826,Visual Communication Design,855,855,1024
457,DL827,Art,572,572,941
458,DL828,"3D Design, Modelmaking and Digital Art",506,538,920
459,DL829,Design for Stage and Screen (Costume Design),593,593,947
460,DL830,Design for Stage and Screen (Character Makeup Design),939,939,968
461,DL831,Design for Stage and Screen (Production Design),781,781,1026
462,DL832,Animation,920,920,1022
463,DL833,Photography,650,667,854
464,DL834,Film and Television Production,990,990,1040
465,DL836,Creative Computing,219,219,300
466,DL837,New Media Studies,201,201,316
467,DL838,Creative Music Production,754,754,972
468,DL839,Interaction and User Experience Design,683,683,990
469,DL840,Digital Marketing,228,228,327
470,DL841,English and Equality Studies,276,276,341
471,DN100,Architecture,510,510,541
472,DN120,Landscape Architecture,407,407,453
473,DN130,City Planning and Environmental Policy,407,390,432
474,DN150,Engineering (Common Entry),531,520,565
475,DN200,Science (options),533,533,567
476,DN201,Computer Science (Common Entry),510,510,542
477,DN230,Actuarial and Financial Studies,601,601,613
478,DN240,Sustainability,440,440,498
479,DN250,Agricultural Science (options),456,453,488
480,DN252,Dairy Business,410,410,455
481,DN253,Agri - Environmental Sciences,418,413,443
482,DN261,Food Science,477,476,495
483,DN262,Human Nutrition,531,531,553
484,DN271,Forestry,311,311,359
485,DN272,"Horticulture, Landscape and Sportsturf Management",297,282,378
486,DN300,Veterinary Medicine - Undergraduate Entry,589,589,602
487,DN301,Veterinary Medicine - Graduate Entry (GAMSAT required),,#,
488,DN310,Veterinary Nursing,478,466,489
489,DN400,Medicine - Undergraduate Entry (HPAT required),737,736,748
490,DN401,Medicine - Graduate Entry (GAMSAT required),,58,61
491,DN410,Radiography,534,531,543
492,DN411,Radiography - Graduate Entry,,#,
493,DN420,Physiotherapy,578,568,589
494,DN425,Health and Performance Science,510,507,521
495,DN430,Sport and Exercise Management,455,433,455
496,DN440,"Biomedical, Health and Life Sciences",590,589,601
497,DN450,General Nursing,429,421,445
498,DN451,Children`s and General Nursing (Integrated),509,499,529
499,DN452,Midwifery,489,473,499
500,DN453,Mental Health Nursing,397,393,412
501,DN520,Joint Honours (options),310,310,409
502,DN530,Humanities (options),340,326,419
503,DN541,Modern Languages (options),303,300,443
504,DN600,Law (options),546,543,566
505,DN610,Business and Law,545,544,577
506,DN650,Commerce,521,521,543
