,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020
791,LC504,Creative Media and Design,192,192,378
792,LC517,Creative Media and Design,234,234,327
793,LC518,Digital Animation Production (portfolio),808,808,939
794,LC602,Social Care Work,260,260,370
795,LC603,Early Childhood Education and Care,147,174,327
796,LC605,Business,195,195,418
797,LC612,Social Care Work,320,320,343
798,LC613,Early Childhood Education and Care,242,242,327
799,LM002,Arts,348,348,410
800,LM020,Law and Accounting,465,465,499
801,LM026,Performing Arts (audition required),303,303,401
802,LM028,Criminal Justice,418,418,440
803,LM029,Law Plus,490,490,521
804,LM038,Psychology and Sociology,500,500,507
805,LM039,Journalism and Digital Communication,402,402,455
806,LM040,European Studies,369,369,488
807,LM044,Applied Languages,442,442,499
808,LM050,Business Studies (options),431,431,476
809,LM056,International Business,528,528,555
810,LM058,Financial Mathematics,403,403,521
811,LM063,Technology Management,379,379,419
812,LM068,Food Science and Health,421,421,454
813,LM076,Product Design and Technology (portfolio required),408,408,487
814,LM077,Aeronautical Engineering,520,520,554
815,LM082,Construction Management and Engineering,398,398,434
816,LM089,Sport and Exercise Sciences,474,474,489
817,LM090,Physical Education with concurrent Teacher Education,532,532,565
818,LM091,Languages with concurrent Teacher Education,517,517,543
819,LM092,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),507,507,531
820,LM093,Equine Science,339,339,412
821,LM094,Materials and Architectural Technology with concurrent Teacher Education,440,440,478
822,LM095,Materials and Engineering Technology with concurrent Teacher Education,367,367,421
823,LM096,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),405,405,454
824,LM097,Mathematics and Computer Science with concurrent Teacher Education,402,402,509
825,LM099,Architecture (portfolio requirement suspended),498,498,532
826,LM100,Physiotherapy,589,589,601
827,LM101,Medicine  - Graduate Entry (GAMSAT required),55,55,57
828,LM102,Psychology,509,509,529
829,LM103,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),392,392,445
830,LM115,Chemical and Biochemical Engineering,454,454,532
831,LM116,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),476,476,521
832,LM118,Electronic and Computer Engineering,403,403,489
833,LM121,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),351,351,423
834,LM122,Creative Media and Interaction Design (Digital Design/Music Media Tech),327,327,401
835,LM123,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),441,441,478
836,LM124,Mathematics (Math Science/Maths and Physics/Economics and Maths),437,437,509
837,LM125,Physics (Applied Physics or Mathematics & Physics),404,404,520
838,LM150,General Nursing,475,475,498
839,LM152,Mental Health Nursing,419,419,430
840,LM154,Intellectual Disability Nursing,420,440,473
841,LM156,Midwifery,469,469,499
842,LM180,Equine Science,337,328,440
843,LY107,Business - Common Entry,161,161,358
844,LY108,Business - Accounting,309,309,431
845,LY118,Business,290,290,377
846,LY206,Sports Studies,149,148,299
847,LY207,Law with Criminal Justice,160,160,377
848,LY208,Law,300,300,367
849,LY228,Sports and Exercise - Common Entry,300,300,367
850,LY317,Culinary Arts,229,224,387
851,LY327,Hospitality And Tourism - Common Entry,170,170,317
852,LY408,Design - Common Entry,320,320,381
853,LY427,Digital Film and Video,172,172,307
854,LY437,Animation,198,198,387
855,LY447,Fashion with Promotion,266,266,384
856,LY457,Graphic and Digital Design,179,189,356
857,LY507,Quantity Surveying,181,181,312
858,LY508,Fire Safety Engineering,276,276,326
859,LY518,Quantity Surveying,301,301,368
860,LY527,Civil Engineering,165,163,329
861,LY528,Construction Management,271,271,321
862,LY607,Electronic Engineering,160,160,389
863,LY608,Mechanical Engineering,300,300,379
864,LY617,Mechanical Engineering,180,180,328
865,LY618,Electronic Engineering,312,312,402
866,LY707,Computer Games Development,204,204,299
867,LY708,Applied Computing,306,306,372
868,LY717,Computing,164,160,350
869,LY737,Computer Security and Digital Forensics,169,169,348
870,LY748,Computer Science,317,317,420
871,LY806,Pharmacy Technician,232,232,377
872,LY816,Dental Nursing,233,223,326
873,LY817,Bioscience,248,248,420
874,LY818,Science - Common Entry,303,303,409
875,LY826,Health Science with Physiotherapy Studies,456,339,445
876,LY828,Agriculture - Common Entry,307,307,351
877,LY836,Health Science with Occupational Therapy Studies,473,278,451
878,LY837,Food Science and Nutrition,194,194,388
879,LY846,Health Science with Dietetics Studies,316,291,462
880,LY847,Veterinary Nursing,367,367,399
881,LY867,Pharmaceutical & Medicinal Science,163,163,310
882,LY877,Agriculture,202,181,327
883,LY906,"Early Childhood Care, Health and Education",205,161,356
884,LY908,General Nursing,400,400,423
885,LY916,Health and Social Care,181,181,336
886,LY918,Psychiatric Nursing,357,357,387
887,LY928,Intellectual Disability Nursing,326,328,346
888,LY968,"Early Childhood Care, Health and Education",303,303,361
889,LY978,Health & Social Care - Common Entry,280,280,330
890,MH001,Education - Primary Teaching (Froebel),507,507,531
891,MH002,Education - Primary Teaching - Gaeltacht Applicants (Froebel),,,
892,MH101,Arts,318,318,388
893,MH103,Music,#,#,#
894,MH106,Psychology - 3 years,521,521,529
895,MH107,Social Science,346,346,388
896,MH109,Media Studies,316,316,377
897,MH116,Community and Youth Work (Full-Time),#,#,#
898,MH201,Science,360,360,418
899,MH202,Biotechnology,455,455,466
900,MH203,Biological and Geographical Sciences,430,430,465
901,MH204,Physics with Astrophysics,422,422,479
902,MH206,Theoretical Physics and Mathematics,510,510,533
903,MH207,Data Science,445,445,520
904,MH208,Biological and Biomedical Sciences,498,498,510
905,MH209,Psychology (through Science) - 4 years,498,498,510
906,MH210,Pharmaceutical and Biomedical Chemistry,487,487,520
907,MH212,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),422,422,487
908,MH304,Engineering (Computer/Electronic/Communications),333,333,444
909,MH305,Product Design,357,357,409
910,MH306,Robotics and Intelligent Devices,361,361,433
911,MH401,Finance (options),357,357,398
912,MH402,Quantitative Finance,476,476,509
913,MH403,Accounting and Finance,422,422,468
914,MH404,Business (options),430,430,454
915,MH405,Equine Business,357,357,408
916,MH407,Business and Accounting,420,420,462
917,MH411,Entrepreneurship,371,371,408
918,MH501,LLB Law - four year Single Major Law programme,473,473,495
919,MH502,Law (options),451,451,473
920,MH601,Computer Science through Arts (options),352,352,403
921,MH602,Computer Science through Science (options),351,351,409
922,MH603,Computational Thinking,532,532,544
923,MH801,Early Childhood - Teaching and Learning (part-time),327,327,378
924,MH802,"Community and Youth Work (part-time, in service)",#,#,
925,MH803,"Local Studies/Community Studies (part-time, evening) - Mature Students",#,#,
926,MI001,Contemporary & Applied Theatre Studies,375,390,412
927,MI002,Arts,300,281,389
928,MI004,Education - Primary Teaching - International,577,577,589
929,MI005,Education - Primary Teaching,495,495,521
930,MI006,Education - Primary Teaching - Gaeltacht Applicants,456,462,519
931,MI007,Early Childhood Care and Education,357,357,409
932,MI008,Education and Psychology - Primary Teaching,588,588,601
933,MI009,"Education, Business Studies and Accounting",402,402,455
934,MI010,"Education, Business Studies and Religious Studies",368,368,389
935,MI011,"Education, Gaeilge and Religious Studies",409,409,451
936,MI012,"Education, Gaeilge and Business Studies",401,401,463
937,MI013,"Education, Mathematics and Gaeilge",444,444,477
938,MI014,"Education, Mathematics and Business Studies",434,434,487
939,MU001,Theology and Arts,290,290,349
940,MU002,Theology,440,440,440
941,NC003,Computing (Degree Award options),260,260,303
942,NC005,Human Resource Management,300,300,331
943,NC009,Business,300,300,346
944,NC010,Psychology,400,400,440
945,NC020,Marketing Practice,280,282,338
946,NC022,Accounting and Finance,337,337,378
947,NC023,Technology Management (with specialisations),261,261,282
948,NC102,Computing,220,220,342
949,NC103,Business,250,250,327
950,NC104,Business Computing,243,243,423
951,NM701,Montessori Education,187,187,407
952,NM801,Montessori Education,220,220,290
953,PC402,Arts and Humanities,200,80,368
954,PC404,Applied Social Studies - Professional Social Care,217,175,269
955,PC405,"Social, Political and Community Studies",253,216,311
956,PC410,Arts and Humanities (fulfils Teaching Council requirements),252,209,300
957,PC411,English and History (fulfils Teaching Council requirements),255,209,310
958,RC001,Medicine - Undergraduate Entry (HPAT required),733,733,738
959,RC004,Physiotherapy,566,566,567
960,RC005,Pharmacy,579,578,589
961,RC101,Medicine - Graduate Entry (GAMSAT required),,61,63
962,SG101,Business,160,160,336
963,SG102,Computing (Level 6 - General Entry),254,254,321
964,SG131,Computing - Games Development,280,280,378
965,SG134,Applied Sport with Business,215,215,337
966,SG135,Business in Tourism with Event Management,187,187,338
967,SG136,Computing - Software Development,272,272,328
968,SG137,Computing (Computer Networks and Cloud Infrastructure),324,326,367
969,SG138,Computing (Level 7 - General Entry),260,260,351
970,SG141,Business,261,261,347
971,SG142,Business in International Marketing and Languages (French),279,279,386
972,SG144,Business in International Marketing and Languages (Spanish),270,270,347
973,SG146,Accounting,309,309,411
974,SG147,Sport with Business,307,307,367
975,SG148,Tourism with Event Management,269,269,340
976,SG231,Fine Art,449,449,556
977,SG232,Creative Design,273,276,353
978,SG235,Performing Arts (Theatre Design),319,319,398
979,SG236,Performing Arts (Acting),235,235,400
980,SG241,Performing Arts,328,328,387
981,SG242,Early Childhood Care and Education,279,279,319
982,SG243,Social Care Practice,301,301,346
983,SG244,Fine Art,505,505,505
984,SG245,Creative Design,282,282,339
985,SG246,Computing,290,290,333
986,SG247,English and Psychology,309,309,382
987,SG248,Sociology and Politics,281,281,327
988,SG249,Writing and Literature,297,297,368
989,SG250,Application Design and User Experience,412,412,412
990,SG251,Computing (Smart Technologies),327,342,367
991,SG252,Software Development,307,307,319
992,SG253,Computer Networks and Cloud Infrastructure,324,378,378
993,SG254,Writing and Literature Online,225,225,328
994,SG300,Engineering (General Entry),209,209,296
995,SG302,Construction Economics,184,184,256
996,SG308,Applied Construction Technology,171,171,354
997,SG330,Engineering (General Entry),243,243,399
998,SG331,Interior Architecture and Design,236,236,378
999,SG332,Advanced Wood and Sustainable Building Technology,208,208,338
1000,SG333,Mechanical Engineering,216,216,347
1001,SG334,Mechatronic Engineering,290,290,361
1002,SG336,Precision Engineering and Design,309,309,451
1003,SG338,Civil Engineering,245,245,443
1004,SG339,Quantity Surveying,195,195,337
1005,SG342,Civil Engineering,415,415,480
1006,SG343,Quantity Surveying,311,311,367
1007,SG346,Construction Project Management and Applied Technology,291,291,337
1008,SG347,Architecture,360,360,411
1009,SG348,Interior Architecture and Design,316,331,368
1010,SG401,Science,209,209,288
1011,SG404,Environmental Science with Ecology (Level 6),264,358,377
1012,SG406,Health and Exercise Science,367,367,429
1013,SG431,Pharmaceutical Science with Drug Development,269,269,387
1014,SG433,Occupational Safety and Health,223,223,360
1015,SG434,Human Nutrition,280,280,420
1016,SG435,Health Science and Physiology,289,289,409
1017,SG436,Biomedical Science,262,262,465
1018,SG437,Forensic Investigation and Analysis,243,243,367
1019,SG439,Environmental Science with Ecology (Level 7),254,254,409
1020,SG442,Occupational Safety and Health,290,290,367
1021,SG443,Human Nutrition,356,356,397
1022,SG444,Science Undenominated,338,338,420
1023,SG445,Pharmaceutical Science with Drug Development,311,311,367
1024,SG447,Health Science and Physical Activity,328,328,387
1025,SG448,Forensic Investigation and Analysis,306,307,368
1026,SG449,Medical Biotechnology,341,341,395
1027,SG450,Environmental Science with Ecology (Level 8),300,304,368
1028,SG530,Health and Medical Information Science (Online),285,285,285
1029,SG535,Business Administration,228,228,316
1030,SG536,Business,223,223,379
1031,SG537,Marketing and Sales,234,234,389
1032,TL620,Culinary Arts,189,189,308
1033,TL651,Science (Biological and Environmental Studies),223,233,434
1034,TL652,Pharmacy Technician,260,260,348
1035,TL701,"Animation, Visual Effects and Motion Design (Level 7)",228,228,443
1036,TL702,"TV, Radio and New Media (Level 7)",243,243,462
1037,TL710,Computing with Software Development,232,232,319
1038,TL711,Computing with Games Development,224,224,301
1039,TL715,Computing (Degree Award options),251,251,368
1040,TL716,Computer Systems and Networking,269,269,338
1041,TL731,Business (Major Specialism in: Acctng or Mktg or Mgmnt),219,219,399
1042,TL743,Agricultural Mechanisation,,,
1043,TL744,Agricultural Engineering,243,243,359
1044,TL745,Civil and Environmental Engineering,261,145,355
1045,TL747,Engineering in Mechanical and Manufacturing Engineering,200,200,368
1046,TL748,Agricultural Science,249,249,398
1047,TL755,Pharmaceutical Science (Degree Award options),261,261,433
1048,TL758,Animal Bioscience,251,261,380
1049,TL771,Health and Leisure (Degree Award Options),208,208,370
1050,TL772,Health and Leisure with Massage,218,218,378
1051,TL773,Coaching and Sports Performance,106,106,297
1052,TL780,Early Childhood Care and Education,234,234,354
1053,TL781,Social Care,225,225,318
1054,TL801,"Animation, Visual Effects and Motion Design (Level 8)",281,281,349
1055,TL802,"TV, Radio and New Media (Level 8)",325,325,397
1056,TL810,Computing with Software Development,310,310,389
1057,TL811,Computing with Games Development,358,358,
1058,TL815,Computing (Degree Award options),308,308,360
1059,TL823,Event Management (3 year programme),299,299,369
1060,TL831,Business Studies (Major Specialism in: Acctng or Mktg or Mgmnt),306,306,381
1061,TL844,Agricultural Engineering,300,300,373
1062,TL845,Civil Engineering,325,325,413
1063,TL847,Manufacturing Engineering,302,302,368
1064,TL848,Agricultural Science,308,308,380
1065,TL851,Wildlife Biology (Degree Award options),309,309,383
1066,TL855,Pharmaceutical Science (Degree Award options),317,317,369
1067,TL858,Veterinary Bioscience,308,308,393
1068,TL871,Health and Leisure (Degree Award options),300,300,379
1069,TL872,Health and Leisure with Massage,309,309,408
1070,TL873,Coaching and Sports Performance,289,289,329
1071,TL880,Early Childhood Care and Education,307,307,349
1072,TL881,Social Care,308,309,362
1073,TL889,Counselling with Addiction - Mature applicants only,,,
1074,TL890,General Nursing and Mature Applicants,440,414,441
1075,TL891,Mental Health Nursing and Mature Applicants,389,378,399
1076,TR002,Music,435,382,468
1077,TR003,History,497,456,511
1078,TR004,Law,566,565,578
1079,TR005,Philosophy,442,442,476
1080,TR006,Psychology,567,555,578
1081,TR007,Clinical Speech and Language Studies,529,529,553
1082,TR009,Music Education,420,420,532
1083,TR012,History and Political Science,555,552,578
1084,TR015,"Philosophy, Political Science, Economics and Sociology",589,589,601
1085,TR016,Deaf Studies,340,329,377
1086,TR017,Law and Business,602,602,613
1087,TR018,Law and French,565,565,589
1088,TR019,Law and German,543,542,566
1089,TR020,Law and Political Science,602,601,613
1090,TR021,"Classics, Ancient History and Archaeology",370,370,434
1091,TR022,Early and Modern Irish,398,398,451
1092,TR023,English Studies,487,474,511
1093,TR024,European Studies,544,530,566
1094,TR025,Drama and Theatre Studies,564,530,581
1095,TR028,Ancient and Medieval History and Culture,342,342,453
1096,TR029,Political Science and Geography,526,510,533
1097,TR031,Mathematics,531,531,589
1098,TR032,Engineering,510,508,533
1099,TR033,Computer Science,509,509,545
1100,TR034,Management Science and Information Systems Studies,613,613,625
1101,TR035,Theoretical Physics,543,543,601
1102,TR038,Engineering with Management,532,532,556
1103,TR039,Computer Science and Language,454,424,488
1104,TR040,Middle Eastern and European Languages and Cultures,466,466,521
1105,TR041,Religion,368,368,418
1106,TR042,Film,489,466,498
1107,TR043,History of Art and Architecture,393,354,474
1108,TR051,Medicine (HPAT required),735,734,745
1109,TR052,Dental Science,613,613,625
1110,TR053,Physiotherapy,566,566,567
1111,TR054,Occupational Therapy,533,533,554
1112,TR055,Radiation Therapy,543,543,554
1113,TR056,Human Health and Disease,565,564,578
1114,TR060,Biological and Biomedical Sciences,543,543,566
1115,TR061,Chemical Sciences,517,510,532
1116,TR062,Geography and Geoscience,473,473,499
1117,TR063,Physical Sciences,498,477,531
1118,TR072,Pharmacy,590,590,613
1119,TR080,Global Business,589,589,601
1120,TR081,"Business, Economic and Social Studies (BESS)",543,543,565
1121,TR082,Computer Science and Business,555,555,578
1122,TR083,Sociology and Social Policy,498,478,513
1123,TR084,Social Studies (Social Work),462,462,495
1124,TR085,Business Studies and French,540,521,543
1125,TR086,Business Studies and German,509,499,518
1126,TR087,Business Studies and Russian,474,456,488
1127,TR089,Business Studies and Polish,444,424,468
1128,TR090,Business Studies and Spanish,531,531,542
1129,TR091,General Nursing (Meath and St James`s),429,429,455
1130,TR093,General Nursing (Adelaide School of Nursing),430,414,441
1131,TR095,Mental Health Nursing,408,408,430
1132,TR097,Intellectual Disability Nursing,396,378,398
1133,TR111,Ancient History and Archaeology/Geography,352,352,429
1134,TR112,Ancient History and Archaeology/History,529,529,
1135,TR113,Ancient History and Archaeology/History of Art and Architecture,337,337,477
1136,TR114,Ancient History and Archaeology/Modern Language,337,337,420
1137,TR117,Ancient History and Archaeology/Religion,342,342,368
1138,TR166,Classical Civilisation/English Literature,498,496,523
1139,TR173,Classical Civilisation/History of Art and Architecture,335,335,466
1140,TR177,Classical Civilisation/Modern Language,335,335,536
1141,TR179,Classical Civilisation/Philosophy,499,479,518
1142,TR198,Economics/Geography,534,534,552
1143,TR202,Economics/History,534,534,566
1144,TR207,Economics/Mathematics,566,566,601
1145,TR208,Economics/Modern Language,534,534,578
1146,TR209,Economics/Philosophy,534,534,576
1147,TR212,Economics/Sociology,534,534,541
1148,TR228,Classical Languages/English Literature,498,498,533
1149,TR231,Classical Languages/History of Art and Architecture,349,349,444
1150,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,349,566
1151,TR239,Classical Languages/Modern Language,349,349,349
1152,TR262,English Literature/History,529,529,552
1153,TR263,English Literature/History of Art and Architecture,498,497,533
1154,TR269,English Literature/Philosophy,499,495,532
1155,TR272,English Literature/Sociology,498,498,519
1156,TR276,English Literature/Drama Studies,#498,#476,530
1157,TR277,English Literature/Modern Language,498,489,543
1158,TR311,Film/Drama Studies,#521,#521,557
1159,TR312,Film/English Literature,521,521,541
1160,TR320,Film/Music,521,521,555
1161,TR322,Geography/History,529,529,555
1162,TR323,Drama Studies/Modern Language,#473,#473,551
1163,TR324,Film/Modern Language,521,521,544
1164,TR325,Film/History,529,529,625
1165,TR326,Geography/Modern Language,352,352,440
1166,TR332,Geography/Sociology,498,496,520
1167,TR443,History/History of Art and Architecture,529,529,532
1168,TR447,History/Modern Language,529,529,554
1169,TR449,History/Philosophy,529,529,543
1170,TR452,History/Sociology,529,529,534
1171,TR454,History/Religion,529,529,534
1172,TR455,History of Art and Architecture/Modern Language,334,334,454
1173,TR479,History of Art and Architecture/Philosophy,499,485,555
1174,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,337,473
1175,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,335,543
1176,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,529,555
1177,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,335,451
1178,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,
1179,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,342,
1180,TR597,Mathematics/Modern Language,566,566,625
1181,TR598,Mathematics/Music,566,566,
1182,TR599,Mathematics/Philosophy,566,566,589
1183,TR629,Music/Philosophy,499,499,
1184,TR635,Music/Drama Studies,#473,#473,487
1185,TR636,Music/Modern Language,388,388,455
1186,TR638,Music/Religion,388,388,440
1187,TR639,Philosophy/Modern Language,499,499,613
1188,TR662,Philosophy/Sociology,499,499,531
1189,TR663,Religion/Classical Civilisation,342,342,591
1190,TR664,Religion/English Literature,498,498,565
1191,TR665,Religion/History of Art and Architecture,342,342,452
1192,TR666,Religion/Modern Language,,,
1193,TR667,French/Modern Language,403,403,478
1194,TR668,German/Modern Language,389,389,465
1195,TR669,Irish/Modern Language,368,368,473
1196,TR670,Italian/Modern Language,381,381,466
1197,TR671,Russian/Modern Language,332,332,494
1198,TR672,Spanish/Modern Language,336,336,488
1199,TR755,Sociology/Drama Studies,#498,#498,543
1200,TR756,Sociology/Modern Language,498,495,510
1201,TR801,Dental Nursing,436,367,455
1202,TR802,Dental Hygiene,#543,#498,532
1203,TR803,Dental Technology,#531,#359,456
1204,TR911,Children`s and General Nursing (Integrated),511,499,521
1205,TR913,Midwifery,478,473,508
1206,TU601,Electronic Engineering,232,230,326
1207,TU602,Computer Engineering,223,223,330
1208,TU603,Mechanical Engineering,197,197,299
1209,TU641,Bar and Restaurant Management,223,223,356
1210,TU642,Culinary Arts,153,153,244
1211,TU643,Culinary Arts (Professional Cookery Practice),236,236,383
1212,TU644,Food Management and Entrepreneurship,223,223,456
1213,TU645,Food Science and Management,241,243,390
1214,TU651,Applied Biology,205,196,359
1215,TU652,Computing,194,194,265
1216,TU653,Computing (Information Technology),245,245,357
1217,TU654,Pharmacy Technician Studies,321,321,420
1218,TU655,Computing (Networking Technologies) Learn and Work,410,335,459
1219,TU671,Business,226,228,403
1220,TU672,Business (Common entry),180,179,274
1221,TU673,Business Management,300,300,451
1222,TU674,Business Studies,300,306,451
1223,TU675,Marketing,301,301,412
1224,TU676,Retail Management and Marketing,290,290,377
1225,TU701,Automation Engineering,260,261,368
1226,TU702,Biomedical Design,232,232,351
1227,TU703,Building Engineering,260,260,359
1228,TU704,Civil Engineering,262,262,361
1229,TU705,Electrical and Control Engineering,243,243,339
1230,TU706,Electrical Services Engineering,244,244,307
1231,TU707,Electronic Engineering,224,224,361
1232,TU708,Engineering (Common Entry with Award options),225,225,360
1233,TU709,Engineering (General Entry),370,370,487
1234,TU710,Engineering Reliability Management,244,244,305
1235,TU711,Mechatronic Engineering,223,223,372
1236,TU712,Sustainable Energy and Environmental Engineering,180,180,332
1237,TU713,Computer Engineering,221,221,322
1238,TU714,Electronics and Communications Engineering,264,264,392
1239,TU715,Engineering Software,181,181,391
1240,TU716,Networking Technology,241,241,386
1241,TU717,Mechanical Engineering,300,300,367
1242,TU718,Mechanical Engineering,198,198,338
1243,TU719,"Design,Technology and Innovation",228,228,363
1244,TU720,Automotive Management and Technology,232,232,338
1245,TU721,Aviation Technology,350,352,434
1246,TU722,Process Instrumentation and Automation Learn and Work,292,401,499
1247,TU731,"Auctioneering, Valuation and Estate Agency",290,290,372
1248,TU732,Timber Product Technology,253,198,372
1249,TU735,Sports Management and Coaching,270,270,347
1250,TU736,Sports Science and Health,410,391,455
1251,TU741,Baking and Pastry Arts Management,234,238,412
1252,TU742,Culinary Arts,155,155,319
1253,TU745,Hospitality Management,245,245,357
1254,TU746,International Hospitality and Tourism Management,170,170,313
1255,TU747,Tourism Management,242,242,369
1256,TU751,Biosciences,407,407,509
1257,TU752,DNA and Forensic Analysis,390,390,465
1258,TU754,Industrial and Environmental Physics,270,270,487
1259,TU755,Science (General Entry),361,361,498
1260,TU756,Computing,200,195,357
1261,TU757,Computing (Information Technology),225,225,352
1262,TU758,Digital Forensics and Cyber Security,220,220,337
1263,TU759,Information Technology Management,211,211,330
1264,TU760,Bioanalysis,204,204,327
1265,TU761,Ophthalmic Dispensing,302,319,434
1266,TU762,Medicinal Chemistry and Pharmaceutical Sciences,364,364,510
1267,TU763,Pharmaceutical Science,382,349,429
1268,TU771,Business,224,224,392
1269,TU772,Business (Common Entry with Award options),AQA,AQA,317
1270,TU774,Management,195,195,327
1271,TU775,Accounting and Finance,260,260,465
1272,TU776,Accounting and Finance,182,175,337
1273,TU777,Business and Information Technology,244,244,352
1274,TU778,International Business,224,226,423
1275,TU779,International Business,180,180,368
1276,TU780,Advertising and Marketing Communications,179,179,366
1277,TU781,Digital Marketing,220,220,326
1278,TU782,Digital Marketing,179,179,287
1279,TU783,Marketing,189,189,360
1280,TU791,Applied Social Studies in Social Care,320,320,378
1281,TU792,Community and Youth Development,101,101,288
1282,TU793,Early Childhood Care and Education,220,220,386
1283,TU794,Early Childhood Care and Education,390,230,376
1284,TU795,Visual Merchandising and Display,481,481,763
1285,TU796,Creative Digital Media,225,225,383
1286,TU801,Biomedical Design,235,235,381
1287,TU802,Electrical Services and Energy Management,317,300,352
1288,TU803,Electronic Engineering,243,243,337
1289,TU804,Engineering (Common Entry with Award options),271,271,338
1290,TU805,Engineering (General Entry),402,402,466
1291,TU806,Sustainable Energy Engineering,262,262,318
1292,TU807,Computer Engineering in Mobile Systems,276,276,305
1293,TU808,Engineering Software,260,260,339
1294,TU809,Mechanical Engineering,235,235,347
1295,TU810,Mechatronic Engineering,270,271,312
1296,TU811,Product Design,411,411,444
1297,TU812,"Design,Technology and Innovation",270,270,350
1298,TU813,Automation Engineering,218,218,339
1299,TU814,Transport Operations and Technology,285,251,372
1300,TU831,Architectural Technology,410,410,444
1301,TU832,Architecture (Suitability Test and Interview),622,622,658
1302,TU833,Construction Management,367,367,404
1303,TU834,Geographic Science,288,288,357
1304,TU835,Planning and Environmental Management,313,313,349
1305,TU836,Property Economics (Valuation Surveying),401,401,433
1306,TU837,Quantity Surveying and Construction Economics,385,385,418
1307,TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,349,419
1308,TU852,Chemical Sciences with Medicinal Chemistry,476,476,498
1309,TU854,Science (General Entry),476,476,495
1310,TU855,Science with Nanotechnology,331,319,368
1311,TU856,Computer Science,476,476,487
1312,TU857,Computer Science (Infrastructure),391,391,419
1313,TU858,Computer Science (International),377,377,424
1314,TU859,Computing,217,217,308
1315,TU860,Computing (Information Technology),260,260,329
1316,TU861,Computing with Language (French/German/Spanish),308,308,348
1317,TU862,Computing with Data Analytics,226,226,288
1318,TU863,Digital Forensics and Cyber Security,280,280,338
1319,TU864,DNA and Forensic Analysis,400,390,429
1320,TU865,Computing with IT Management,226,226,331
1321,TU866,Biomedical and Molecular Diagnostics,487,487,498
1322,TU867,Biomedical Science,524,524,542
1323,TU868,Clinical Measurement Science,510,510,520
1324,TU869,Environmental Health,336,336,375
1325,TU870,Human Nutrition and Dietetics,578,578,589
1326,TU871,Optometry,509,509,530
1327,TU872,Public Health Nutrition,491,491,512
1328,TU873,Industrial Mathematics,250,250,392
1329,TU874,Mathematical Sciences,341,343,407
1330,TU875,Pharmaceutical Healthcare,400,400,440
1331,TU876,Pharmaceutical Science,377,349,391
1332,TU877,Physics Technology,308,308,373
1333,TU878,Physics with Energy and Environment,337,331,444
1334,TU879,Physics with Medical Physics and Bioengineering,351,351,403
1335,TU880,Physics with Data Science,578,,
1336,TU881,Food Innovation,318,318,389
1337,TU882,Nutraceuticals in Health and Nutrition,397,397,442
1338,TU901,Business,270,270,307
1339,TU902,Business (Common Entry with Award options),271,271,359
1340,TU903,Business and Management,463,463,485
1341,TU904,Business and Law,462,462,487
1342,TU905,Economics and Finance,465,465,488
1343,TU906,Human Resource Management,395,395,414
1344,TU907,Logistics and Supply Chain Management,300,300,387
1345,TU908,Management,262,253,337
1346,TU909,Accounting and Finance,285,285,326
1347,TU910,Accounting and Finance,444,444,466
1348,TU911,Accounting and Finance,209,192,319
1349,TU912,Business Analytics,330,330,366
1350,TU913,Business and Information Technology,252,252,299
1351,TU914,Business Computing,324,324,366
1352,TU915,International Business,252,252,302
1353,TU916,International Business,235,235,337
1354,TU917,Law (LLB ) with a Language,342,342,433
1355,TU918,Law (LLB),451,451,478
1356,TU919,Advertising and Marketing Communications,228,226,311
1357,TU920,Digital Marketing,270,270,318
1358,TU921,Digital Marketing Technologies,212,234,300
1359,TU922,Marketing,418,418,443
1360,TU923,Marketing Management,228,228,318
1361,TU924,E-Commerce in Retailing,307,307,380
1362,TU925,Retail and Services Management,301,301,362
1363,TU935,Sports Management and Coaching,300,300,347
1364,TU936,Sports Science and Health,410,391,419
1365,TU941,Botanical Cuisine,249,249,257
1366,TU942,Culinary Arts,212,212,340
1367,TU943,Culinary Entrepreneurship,278,279,357
1368,TU944,Culinary Science,316,316,379
1369,TU951,International Hospitality and Tourism Management,184,200,298
1370,TU952,International Hospitality Management,300,306,368
1371,TU953,Tourism and Digital Marketing,290,290,359
1372,TU954,Event Management,356,356,404
1373,TU955,Sports & Leisure Management,217,217,347
1374,TU961,Commercial Modern Music,608,608,848
1375,TU962,Drama (Performance),379,379,500
1376,TU963,Music,416,416,535
1377,TU965,International Business and Languages,356,346,413
