,Course Code,Course,EOS_2018
155,CK701,Medicine (Undergraduate Entry - HPAT required),729
156,CK702,Dentistry,590
157,CK703,Pharmacy,577
158,CK704,Occupational Therapy,532
159,CK705,Speech and Language Therapy,509
160,CK706,Public Health Sciences,419
161,CK707,Medical and Health Sciences,510
162,CK710,General Nursing,440
163,CK712,Children's and General Nursing (Integrated),499
164,CK720,Mental Health Nursing,398
165,CK730,Intellectual Disability Nursing,359
166,CK740,Midwifery,444
167,CK791,Medicine  - Graduate Entry (GAMSAT required),58
168,AC120,International Business,234
169,AC137,Liberal Arts,252
170,CT125,Information Technology,235
171,CM001,Education - Primary Teaching,452
172,CM002,Education - Primary Teaching - Gaeltacht Applicants,421
173,CM003,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge,491
174,CM004,Oideachas - Bunmhúinteoireacht Trí Mheán na Gaeilge (daltaí Gaeltachta),492
175,CM010,Education Studies,317
176,CM020,Early Childhood Education,336
177,DB500,Computing,242
178,DB501,Computing (Cloud Computing),326
179,DB502,Computing (Data Analytics and Big Data),269
180,DB503,Computing (Software Development),242
181,DB504,Computing (Web and Mobile Technology),227
182,DB510,Audio Production and Music Project Management,233
183,DB512,Business Studies,229
184,DB514,Business Studies (Law),269
185,DB515,Business Studies (Human Resource Management),225
186,DB516,Financial Services,328
187,DB517,Event Management,226
188,DB518,Marketing (Digital Media),210
189,DB521,Accounting and Finance,225
190,DB524,Business Information Systems,402
191,DB525,Marketing (Digital Media and Cloud Computing),284
192,DB526,Business Information Systems (Cloud Computing),253
193,DB527,Applied Social Care,235
194,DB531,Marketing,220
195,DB562,Psychology,208
196,DB566,Social Science,216
197,DB567,Film,192
198,DB568,Law,245
199,DB569,Business (Psychology),279
200,DC001,Education - Early Childhood Education,398
201,DC002,Education - Primary Teaching,462
202,DC003,Education - Primary Teaching - Gaeltacht Applicants,433
203,DC004,Education - Primary Teaching (Church of Ireland Centre formerly CICE),357
204,DC005,Education - Primary Teaching - Irish Sign Language,316
205,DC009,Arts (Joint Honours) - Humanities,347
206,DC010,Post Primary Teacher Education - Religious Education and English,386
207,DC011,Post Primary Teacher Education - Religious Education and History,352
208,DC012,Post Primary Teacher Education - Religious Education and Music,367
209,DC013,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,410
210,DC014,BA in Jazz and Contemporary Music Performance,428
211,DC110,Business Studies International,440
212,DC111,Business Studies,463
213,DC112,Global Business (France),495
214,DC113,Global Business (Germany),440
215,DC114,Global Business (Spain),501
216,DC115,Accounting and Finance,487
217,DC116,Global Business (USA),578
218,DC117,Aviation Management / Aviation Management with Pilot Studies,463
219,DC118,Gnó agus Gaeilge / Business and Irish,357
220,DC119,Global Business (Canada),566
221,DC120,Enterprise Computing,350
222,DC121,Computer Applications,370
223,DC123,Data Science,467
224,DC126,Actuarial Mathematics,520
225,DC127,Common Entry into Actuarial and Financial Mathematics,509
226,DC131,Communication Studies,400
227,DC132,Journalism,401
228,DC133,Multimedia,403
229,DC155,Applied Language and Translation Studies,371
230,DC161,Analytical Science,446
231,DC162,Chemical and Pharmaceutical Sciences,488
232,DC166,Environmental Science and Technology,412
233,DC167,Physics with Astronomy,434
234,DC168,Genetics and Cell Biology,489
235,DC171,Applied Physics,402
236,DC173,Physics with Biomedical Sciences,402
237,DC181,Biotechnology,476
238,DC190,Electronic and Computer Engineering (with choice of four majors),391
239,DC193,Mechatronic Engineering,404
240,DC195,Mechanical and Manufacturing Engineering,401
241,DC197,Biomedical Engineering,402
242,DC200,Common Entry into Engineering (Undenominated Entry),381
243,DC201,Common Entry into Science (Undenominated Entry),454
244,DC202,Sport Science and Health,467
245,DC203,Science Education,424
246,DC204,Athletic Therapy and Training,484
247,DC205,Physical Education with Biology,490
248,DC206,Physical Education with Mathematics,443
249,DC208,Psychology,509
250,DC209,Health and Society,419
251,DC215,General Nursing,414
252,DC216,Mental Health Nursing,368
253,DC217,Intellectual Disability Nursing,347
254,DC218,Children's and General Nursing (Integrated),467
255,DC230,Economics, Politics and Law
